Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
RNAi-gam-1_R1_001_trimmed_2P	(24.0, 2.0)	(25.0, 21.0)	(26.0, 283.0)	(27.0, 1752.0)	(28.0, 8157.0)	(29.0, 27892.0)	(30.0, 75399.0)	(31.0, 176990.0)	(32.0, 360009.0)	(33.0, 708470.0)	(34.0, 1519981.0)	(35.0, 4428389.0)	(36.0, 10615970.0)	(37.0, 239579.0)				
RNAi-gam-1_R1_001_trimmed_2U	(24.0, 1.0)	(25.0, 13.0)	(26.0, 144.0)	(27.0, 856.0)	(28.0, 3166.0)	(29.0, 8655.0)	(30.0, 17874.0)	(31.0, 27235.0)	(32.0, 32457.0)	(33.0, 30922.0)	(34.0, 24524.0)	(35.0, 18297.0)	(36.0, 14771.0)	(37.0, 252.0)				
RNAi-gam-2_R1_001_trimmed_1P	(25.0, 2.0)	(26.0, 44.0)	(27.0, 397.0)	(28.0, 2696.0)	(29.0, 12486.0)	(30.0, 40961.0)	(31.0, 98566.0)	(32.0, 187862.0)	(33.0, 329992.0)	(34.0, 629209.0)	(35.0, 1878936.0)	(36.0, 16111619.0)	(37.0, 1340787.0)					
RNAi-gam-2_R1_001_trimmed_1U	(25.0, 16.0)	(26.0, 185.0)	(27.0, 1332.0)	(28.0, 6449.0)	(29.0, 21367.0)	(30.0, 49232.0)	(31.0, 85354.0)	(32.0, 116340.0)	(33.0, 145478.0)	(34.0, 181904.0)	(35.0, 322554.0)	(36.0, 2176501.0)	(37.0, 453011.0)					
RNAi-gam-2_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 3.0)	(25.0, 41.0)	(26.0, 329.0)	(27.0, 2379.0)	(28.0, 10479.0)	(29.0, 35904.0)	(30.0, 97881.0)	(31.0, 226684.0)	(32.0, 454705.0)	(33.0, 870205.0)	(34.0, 1789386.0)	(35.0, 4945678.0)	(36.0, 11918112.0)	(37.0, 281770.0)			
RNAi-gam-2_R1_001_trimmed_2U	(23.0, 3.0)	(24.0, 2.0)	(25.0, 25.0)	(26.0, 141.0)	(27.0, 970.0)	(28.0, 3447.0)	(29.0, 9314.0)	(30.0, 18816.0)	(31.0, 29669.0)	(32.0, 35607.0)	(33.0, 34478.0)	(34.0, 27386.0)	(35.0, 20860.0)	(36.0, 17058.0)	(37.0, 313.0)			
RNAi-gam-3_R1_001_trimmed_1P	(25.0, 3.0)	(26.0, 33.0)	(27.0, 476.0)	(28.0, 3209.0)	(29.0, 14853.0)	(30.0, 47451.0)	(31.0, 112627.0)	(32.0, 214745.0)	(33.0, 374268.0)	(34.0, 700652.0)	(35.0, 2076558.0)	(36.0, 18513084.0)	(37.0, 1585133.0)					
RNAi-gam-3_R1_001_trimmed_1U	(24.0, 1.0)	(25.0, 13.0)	(26.0, 203.0)	(27.0, 1546.0)	(28.0, 7639.0)	(29.0, 24723.0)	(30.0, 56798.0)	(31.0, 96904.0)	(32.0, 130221.0)	(33.0, 158801.0)	(34.0, 197513.0)	(35.0, 340169.0)	(36.0, 2349255.0)	(37.0, 522480.0)				
RNAi-gam-3_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 6.0)	(25.0, 54.0)	(26.0, 459.0)	(27.0, 2817.0)	(28.0, 12332.0)	(29.0, 41938.0)	(30.0, 112757.0)	(31.0, 260121.0)	(32.0, 519221.0)	(33.0, 989038.0)	(34.0, 2035007.0)	(35.0, 5632638.0)	(36.0, 13705921.0)	(37.0, 330782.0)			
RNAi-gam-3_R1_001_trimmed_2U	(23.0, 1.0)	(24.0, 0.0)	(25.0, 22.0)	(26.0, 180.0)	(27.0, 1147.0)	(28.0, 4063.0)	(29.0, 11137.0)	(30.0, 22340.0)	(31.0, 34593.0)	(32.0, 40868.0)	(33.0, 39557.0)	(34.0, 31810.0)	(35.0, 24516.0)	(36.0, 20664.0)	(37.0, 399.0)			
WT-S5-1_R1_001_trimmed_1P	(25.0, 3.0)	(26.0, 20.0)	(27.0, 339.0)	(28.0, 2367.0)	(29.0, 11333.0)	(30.0, 36147.0)	(31.0, 87472.0)	(32.0, 165401.0)	(33.0, 287912.0)	(34.0, 536343.0)	(35.0, 1577096.0)	(36.0, 14986172.0)	(37.0, 1359529.0)					
WT-S5-1_R1_001_trimmed_1U	(25.0, 11.0)	(26.0, 164.0)	(27.0, 1243.0)	(28.0, 6240.0)	(29.0, 20591.0)	(30.0, 47683.0)	(31.0, 82612.0)	(32.0, 112225.0)	(33.0, 138876.0)	(34.0, 174484.0)	(35.0, 316058.0)	(36.0, 2403937.0)	(37.0, 561292.0)					
WT-S5-1_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 3.0)	(25.0, 39.0)	(26.0, 320.0)	(27.0, 2163.0)	(28.0, 9673.0)	(29.0, 34102.0)	(30.0, 91280.0)	(31.0, 210202.0)	(32.0, 416625.0)	(33.0, 793588.0)	(34.0, 1638410.0)	(35.0, 4588049.0)	(36.0, 11002793.0)	(37.0, 262886.0)			
WT-S5-1_R1_001_trimmed_2U	(23.0, 2.0)	(24.0, 2.0)	(25.0, 21.0)	(26.0, 159.0)	(27.0, 893.0)	(28.0, 3373.0)	(29.0, 9336.0)	(30.0, 18302.0)	(31.0, 28172.0)	(32.0, 32858.0)	(33.0, 30330.0)	(34.0, 23582.0)	(35.0, 17155.0)	(36.0, 13379.0)	(37.0, 241.0)			
WT-S5-2_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 31.0)	(27.0, 350.0)	(28.0, 2772.0)	(29.0, 12543.0)	(30.0, 40798.0)	(31.0, 96861.0)	(32.0, 183874.0)	(33.0, 317528.0)	(34.0, 591556.0)	(35.0, 1739671.0)	(36.0, 16819676.0)	(37.0, 1559403.0)					
WT-S5-2_R1_001_trimmed_1U	(25.0, 11.0)	(26.0, 174.0)	(27.0, 1354.0)	(28.0, 6699.0)	(29.0, 22552.0)	(30.0, 50908.0)	(31.0, 86989.0)	(32.0, 117478.0)	(33.0, 144053.0)	(34.0, 178222.0)	(35.0, 315449.0)	(36.0, 2351925.0)	(37.0, 542163.0)					
WT-S5-2_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 0.0)	(25.0, 33.0)	(26.0, 364.0)	(27.0, 2414.0)	(28.0, 10961.0)	(29.0, 36987.0)	(30.0, 98340.0)	(31.0, 227136.0)	(32.0, 446989.0)	(33.0, 844167.0)	(34.0, 1732461.0)	(35.0, 4902081.0)	(36.0, 12739536.0)	(37.0, 323594.0)			
WT-S5-2_R1_001_trimmed_2U	(24.0, 2.0)	(25.0, 17.0)	(26.0, 177.0)	(27.0, 997.0)	(28.0, 3643.0)	(29.0, 10131.0)	(30.0, 20154.0)	(31.0, 31013.0)	(32.0, 36342.0)	(33.0, 34089.0)	(34.0, 26624.0)	(35.0, 19523.0)	(36.0, 15421.0)	(37.0, 271.0)				
WT-S5-3_R1_001_trimmed_1P	(25.0, 6.0)	(26.0, 38.0)	(27.0, 426.0)	(28.0, 2853.0)	(29.0, 13604.0)	(30.0, 42549.0)	(31.0, 99998.0)	(32.0, 187397.0)	(33.0, 322826.0)	(34.0, 598969.0)	(35.0, 1762652.0)	(36.0, 16219989.0)	(37.0, 1404783.0)					
WT-S5-3_R1_001_trimmed_1U	(25.0, 6.0)	(26.0, 148.0)	(27.0, 1269.0)	(28.0, 5921.0)	(29.0, 19531.0)	(30.0, 44351.0)	(31.0, 74375.0)	(32.0, 98816.0)	(33.0, 120643.0)	(34.0, 149174.0)	(35.0, 266751.0)	(36.0, 1856105.0)	(37.0, 343107.0)					
WT-S5-3_R1_001_trimmed_2P	(23.0, 2.0)	(24.0, 4.0)	(25.0, 42.0)	(26.0, 309.0)	(27.0, 2044.0)	(28.0, 8838.0)	(29.0, 31273.0)	(30.0, 85414.0)	(31.0, 197883.0)	(32.0, 393905.0)	(33.0, 757941.0)	(34.0, 1559597.0)	(35.0, 4480081.0)	(36.0, 12766725.0)	(37.0, 372032.0)			
WT-S5-3_R1_001_trimmed_2U	(24.0, 1.0)	(25.0, 12.0)	(26.0, 146.0)	(27.0, 896.0)	(28.0, 3388.0)	(29.0, 9597.0)	(30.0, 19764.0)	(31.0, 30893.0)	(32.0, 37401.0)	(33.0, 36221.0)	(34.0, 29576.0)	(35.0, 21453.0)	(36.0, 16402.0)	(37.0, 316.0)				
WT-WYS-2_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 33.0)	(27.0, 319.0)	(28.0, 2425.0)	(29.0, 11799.0)	(30.0, 37754.0)	(31.0, 90500.0)	(32.0, 171190.0)	(33.0, 295745.0)	(34.0, 552594.0)	(35.0, 1659743.0)	(36.0, 14860078.0)	(37.0, 1186356.0)					
WT-WYS-2_R1_001_trimmed_1U	(25.0, 10.0)	(26.0, 152.0)	(27.0, 1224.0)	(28.0, 5613.0)	(29.0, 19444.0)	(30.0, 44502.0)	(31.0, 77405.0)	(32.0, 105413.0)	(33.0, 129798.0)	(34.0, 163753.0)	(35.0, 295844.0)	(36.0, 2057195.0)	(37.0, 405597.0)					
WT-WYS-2_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 5.0)	(25.0, 31.0)	(26.0, 328.0)	(27.0, 2121.0)	(28.0, 9840.0)	(29.0, 34059.0)	(30.0, 91897.0)	(31.0, 212056.0)	(32.0, 424161.0)	(33.0, 809454.0)	(34.0, 1662560.0)	(35.0, 4580373.0)	(36.0, 10789084.0)	(37.0, 252567.0)			
WT-WYS-2_R1_001_trimmed_2U	(24.0, 3.0)	(25.0, 23.0)	(26.0, 126.0)	(27.0, 820.0)	(28.0, 3189.0)	(29.0, 8908.0)	(30.0, 18101.0)	(31.0, 27796.0)	(32.0, 33014.0)	(33.0, 31661.0)	(34.0, 25784.0)	(35.0, 19107.0)	(36.0, 15070.0)	(37.0, 245.0)				
WT-WYS-3_R1_001_trimmed_1P	(26.0, 30.0)	(27.0, 380.0)	(28.0, 2706.0)	(29.0, 12848.0)	(30.0, 40326.0)	(31.0, 95317.0)	(32.0, 178233.0)	(33.0, 302960.0)	(34.0, 554358.0)	(35.0, 1620759.0)	(36.0, 15099776.0)	(37.0, 1303659.0)						
WT-WYS-3_R1_001_trimmed_1U	(25.0, 10.0)	(26.0, 113.0)	(27.0, 1177.0)	(28.0, 5584.0)	(29.0, 19182.0)	(30.0, 43427.0)	(31.0, 73115.0)	(32.0, 96778.0)	(33.0, 115938.0)	(34.0, 143328.0)	(35.0, 270970.0)	(36.0, 2000259.0)	(37.0, 422497.0)					
WT-WYS-3_R1_001_trimmed_2P	(24.0, 6.0)	(25.0, 37.0)	(26.0, 258.0)	(27.0, 1819.0)	(28.0, 7855.0)	(29.0, 27844.0)	(30.0, 75853.0)	(31.0, 177972.0)	(32.0, 357658.0)	(33.0, 692079.0)	(34.0, 1457290.0)	(35.0, 4276231.0)	(36.0, 11811488.0)	(37.0, 324962.0)				
WT-WYS-3_R1_001_trimmed_2U	(24.0, 3.0)	(25.0, 12.0)	(26.0, 161.0)	(27.0, 791.0)	(28.0, 3179.0)	(29.0, 9049.0)	(30.0, 18488.0)	(31.0, 29434.0)	(32.0, 35475.0)	(33.0, 33893.0)	(34.0, 27382.0)	(35.0, 20128.0)	(36.0, 16455.0)	(37.0, 337.0)				
WT-male-gam-1_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 28.0)	(27.0, 428.0)	(28.0, 2745.0)	(29.0, 13072.0)	(30.0, 42109.0)	(31.0, 99596.0)	(32.0, 188403.0)	(33.0, 322683.0)	(34.0, 595792.0)	(35.0, 1767781.0)	(36.0, 15978507.0)	(37.0, 1310104.0)					
WT-male-gam-1_R1_001_trimmed_1U	(24.0, 1.0)	(25.0, 9.0)	(26.0, 150.0)	(27.0, 1191.0)	(28.0, 5952.0)	(29.0, 20283.0)	(30.0, 46334.0)	(31.0, 78492.0)	(32.0, 104243.0)	(33.0, 125469.0)	(34.0, 155307.0)	(35.0, 293876.0)	(36.0, 2053639.0)	(37.0, 395003.0)				
WT-male-gam-1_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 7.0)	(25.0, 27.0)	(26.0, 276.0)	(27.0, 1937.0)	(28.0, 8870.0)	(29.0, 30908.0)	(30.0, 83174.0)	(31.0, 195389.0)	(32.0, 395920.0)	(33.0, 773494.0)	(34.0, 1656484.0)	(35.0, 4842412.0)	(36.0, 12043099.0)	(37.0, 289251.0)			
WT-male-gam-1_R1_001_trimmed_2U	(23.0, 2.0)	(24.0, 0.0)	(25.0, 16.0)	(26.0, 152.0)	(27.0, 845.0)	(28.0, 3332.0)	(29.0, 9628.0)	(30.0, 19407.0)	(31.0, 30403.0)	(32.0, 36361.0)	(33.0, 35293.0)	(34.0, 28750.0)	(35.0, 21558.0)	(36.0, 16285.0)	(37.0, 295.0)			
WT-male-gam-2_R1_001_trimmed_1P	(25.0, 3.0)	(26.0, 42.0)	(27.0, 457.0)	(28.0, 2981.0)	(29.0, 14525.0)	(30.0, 46153.0)	(31.0, 110245.0)	(32.0, 206469.0)	(33.0, 356394.0)	(34.0, 654680.0)	(35.0, 1924178.0)	(36.0, 17731505.0)	(37.0, 1501140.0)					
WT-male-gam-2_R1_001_trimmed_1U	(25.0, 15.0)	(26.0, 165.0)	(27.0, 1351.0)	(28.0, 6320.0)	(29.0, 21368.0)	(30.0, 47615.0)	(31.0, 79575.0)	(32.0, 104325.0)	(33.0, 121740.0)	(34.0, 144004.0)	(35.0, 253613.0)	(36.0, 1851772.0)	(37.0, 385957.0)					
WT-male-gam-2_R1_001_trimmed_2P	(24.0, 1.0)	(25.0, 25.0)	(26.0, 283.0)	(27.0, 1860.0)	(28.0, 8869.0)	(29.0, 30920.0)	(30.0, 84066.0)	(31.0, 196386.0)	(32.0, 399672.0)	(33.0, 780998.0)	(34.0, 1675652.0)	(35.0, 5012951.0)	(36.0, 13975157.0)	(37.0, 381932.0)				
WT-male-gam-2_R1_001_trimmed_2U	(24.0, 4.0)	(25.0, 19.0)	(26.0, 163.0)	(27.0, 964.0)	(28.0, 3628.0)	(29.0, 10406.0)	(30.0, 21027.0)	(31.0, 33489.0)	(32.0, 40397.0)	(33.0, 39572.0)	(34.0, 31702.0)	(35.0, 23233.0)	(36.0, 18575.0)	(37.0, 346.0)				
WT-male-gam-3_R1_001_trimmed_1P	(26.0, 42.0)	(27.0, 450.0)	(28.0, 3185.0)	(29.0, 15014.0)	(30.0, 48143.0)	(31.0, 116267.0)	(32.0, 218329.0)	(33.0, 375293.0)	(34.0, 694904.0)	(35.0, 2055046.0)	(36.0, 18732947.0)	(37.0, 1579659.0)						
WT-male-gam-3_R1_001_trimmed_1U	(25.0, 15.0)	(26.0, 167.0)	(27.0, 1441.0)	(28.0, 6908.0)	(29.0, 23591.0)	(30.0, 54174.0)	(31.0, 91361.0)	(32.0, 120604.0)	(33.0, 145140.0)	(34.0, 175442.0)	(35.0, 307576.0)	(36.0, 2152931.0)	(37.0, 485127.0)					
WT-male-gam-3_R1_001_trimmed_2P	(23.0, 4.0)	(24.0, 10.0)	(25.0, 44.0)	(26.0, 398.0)	(27.0, 2488.0)	(28.0, 11047.0)	(29.0, 38511.0)	(30.0, 105054.0)	(31.0, 245025.0)	(32.0, 493519.0)	(33.0, 948749.0)	(34.0, 1966219.0)	(35.0, 5535298.0)	(36.0, 14123383.0)	(37.0, 369530.0)			
WT-male-gam-3_R1_001_trimmed_2U	(24.0, 1.0)	(25.0, 12.0)	(26.0, 173.0)	(27.0, 1052.0)	(28.0, 4142.0)	(29.0, 11322.0)	(30.0, 23033.0)	(31.0, 35623.0)	(32.0, 42445.0)	(33.0, 40759.0)	(34.0, 32081.0)	(35.0, 23955.0)	(36.0, 18857.0)	(37.0, 398.0)				
WT-mature-herm-1_R1_001_trimmed_1P	(24.0, 1.0)	(25.0, 13.0)	(26.0, 65.0)	(27.0, 228.0)	(28.0, 528.0)	(29.0, 1320.0)	(30.0, 3873.0)	(31.0, 9553.0)	(32.0, 21924.0)	(33.0, 43552.0)	(34.0, 87357.0)	(35.0, 171901.0)	(36.0, 365659.0)	(37.0, 764973.0)	(38.0, 2234013.0)	(39.0, 13548724.0)	(40.0, 4732843.0)	
WT-mature-herm-1_R1_001_trimmed_1U	(24.0, 3.0)	(25.0, 20.0)	(26.0, 138.0)	(27.0, 401.0)	(28.0, 833.0)	(29.0, 1933.0)	(30.0, 5254.0)	(31.0, 11413.0)	(32.0, 22476.0)	(33.0, 37918.0)	(34.0, 63828.0)	(35.0, 99723.0)	(36.0, 159460.0)	(37.0, 227640.0)	(38.0, 377536.0)	(39.0, 1724499.0)	(40.0, 990847.0)	
WT-mature-herm-1_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 9.0)	(25.0, 100.0)	(26.0, 660.0)	(27.0, 1703.0)	(28.0, 3181.0)	(29.0, 5242.0)	(30.0, 10386.0)	(31.0, 19668.0)	(32.0, 40519.0)	(33.0, 76188.0)	(34.0, 149077.0)	(35.0, 274564.0)	(36.0, 530962.0)	(37.0, 1001107.0)	(38.0, 2509927.0)	(39.0, 12674965.0)	(40.0, 4688268.0)
WT-mature-herm-1_R1_001_trimmed_2U	(23.0, 1.0)	(24.0, 4.0)	(25.0, 40.0)	(26.0, 153.0)	(27.0, 338.0)	(28.0, 732.0)	(29.0, 1323.0)	(30.0, 2641.0)	(31.0, 4998.0)	(32.0, 9261.0)	(33.0, 15359.0)	(34.0, 23894.0)	(35.0, 33364.0)	(36.0, 47315.0)	(37.0, 62059.0)	(38.0, 71923.0)	(39.0, 52324.0)	(40.0, 11593.0)
WT-mature-herm-2_R1_001_trimmed_1P	(26.0, 31.0)	(27.0, 288.0)	(28.0, 2298.0)	(29.0, 10957.0)	(30.0, 34898.0)	(31.0, 83774.0)	(32.0, 161262.0)	(33.0, 282456.0)	(34.0, 532955.0)	(35.0, 1597100.0)	(36.0, 15336502.0)	(37.0, 1388830.0)						
WT-mature-herm-2_R1_001_trimmed_1U	(25.0, 9.0)	(26.0, 166.0)	(27.0, 1184.0)	(28.0, 5694.0)	(29.0, 19446.0)	(30.0, 45353.0)	(31.0, 77776.0)	(32.0, 106074.0)	(33.0, 129808.0)	(34.0, 159878.0)	(35.0, 270688.0)	(36.0, 1777506.0)	(37.0, 380246.0)					
WT-mature-herm-2_R1_001_trimmed_2P	(24.0, 3.0)	(25.0, 36.0)	(26.0, 348.0)	(27.0, 2458.0)	(28.0, 10913.0)	(29.0, 36693.0)	(30.0, 97200.0)	(31.0, 222295.0)	(32.0, 438870.0)	(33.0, 832984.0)	(34.0, 1729124.0)	(35.0, 4782532.0)	(36.0, 11028581.0)	(37.0, 249314.0)				
WT-mature-herm-2_R1_001_trimmed_2U	(25.0, 20.0)	(26.0, 137.0)	(27.0, 875.0)	(28.0, 3274.0)	(29.0, 9082.0)	(30.0, 17736.0)	(31.0, 26909.0)	(32.0, 31185.0)	(33.0, 29168.0)	(34.0, 22521.0)	(35.0, 16033.0)	(36.0, 11518.0)	(37.0, 190.0)					
WT-mature-herm-3_R1_001_trimmed_1P	(25.0, 13.0)	(26.0, 75.0)	(27.0, 245.0)	(28.0, 533.0)	(29.0, 1512.0)	(30.0, 4492.0)	(31.0, 10952.0)	(32.0, 24643.0)	(33.0, 48171.0)	(34.0, 94881.0)	(35.0, 181011.0)	(36.0, 379518.0)	(37.0, 799491.0)	(38.0, 2364716.0)	(39.0, 14715127.0)	(40.0, 5063253.0)		
WT-mature-herm-3_R1_001_trimmed_1U	(24.0, 1.0)	(25.0, 27.0)	(26.0, 144.0)	(27.0, 408.0)	(28.0, 849.0)	(29.0, 2096.0)	(30.0, 5789.0)	(31.0, 12470.0)	(32.0, 24490.0)	(33.0, 41150.0)	(34.0, 68522.0)	(35.0, 106800.0)	(36.0, 171812.0)	(37.0, 254395.0)	(38.0, 446366.0)	(39.0, 2265834.0)	(40.0, 1282494.0)	
WT-mature-herm-3_R1_001_trimmed_2P	(24.0, 13.0)	(25.0, 126.0)	(26.0, 675.0)	(27.0, 1694.0)	(28.0, 3133.0)	(29.0, 5328.0)	(30.0, 10465.0)	(31.0, 20354.0)	(32.0, 41145.0)	(33.0, 77680.0)	(34.0, 150876.0)	(35.0, 277950.0)	(36.0, 539125.0)	(37.0, 1020196.0)	(38.0, 2580938.0)	(39.0, 13649487.0)	(40.0, 5309448.0)	
WT-mature-herm-3_R1_001_trimmed_2U	(24.0, 5.0)	(25.0, 32.0)	(26.0, 151.0)	(27.0, 407.0)	(28.0, 700.0)	(29.0, 1414.0)	(30.0, 3038.0)	(31.0, 5678.0)	(32.0, 11127.0)	(33.0, 18025.0)	(34.0, 26492.0)	(35.0, 35574.0)	(36.0, 49999.0)	(37.0, 63858.0)	(38.0, 66744.0)	(39.0, 52685.0)	(40.0, 12080.0)	
