Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
BA19-gam_R1_001_trimmed_1P	(25.0, 13.0)	(26.0, 81.0)	(27.0, 246.0)	(28.0, 590.0)	(29.0, 1467.0)	(30.0, 4241.0)	(31.0, 10394.0)	(32.0, 23930.0)	(33.0, 47507.0)	(34.0, 93337.0)	(35.0, 180277.0)	(36.0, 384174.0)	(37.0, 817284.0)	(38.0, 2357502.0)	(39.0, 13988165.0)	(40.0, 4656745.0)		
BA19-gam_R1_001_trimmed_1U	(24.0, 1.0)	(25.0, 30.0)	(26.0, 139.0)	(27.0, 441.0)	(28.0, 908.0)	(29.0, 2185.0)	(30.0, 5776.0)	(31.0, 12345.0)	(32.0, 24917.0)	(33.0, 41711.0)	(34.0, 69208.0)	(35.0, 107186.0)	(36.0, 171258.0)	(37.0, 252424.0)	(38.0, 438214.0)	(39.0, 2175105.0)	(40.0, 1204336.0)	
BA19-gam_R1_001_trimmed_2P	(24.0, 11.0)	(25.0, 114.0)	(26.0, 630.0)	(27.0, 1684.0)	(28.0, 3118.0)	(29.0, 5086.0)	(30.0, 10211.0)	(31.0, 19125.0)	(32.0, 39536.0)	(33.0, 74657.0)	(34.0, 145454.0)	(35.0, 267385.0)	(36.0, 519298.0)	(37.0, 987290.0)	(38.0, 2500142.0)	(39.0, 13041005.0)	(40.0, 4951207.0)	
BA19-gam_R1_001_trimmed_2U	(24.0, 2.0)	(25.0, 50.0)	(26.0, 185.0)	(27.0, 391.0)	(28.0, 740.0)	(29.0, 1473.0)	(30.0, 3197.0)	(31.0, 5949.0)	(32.0, 11203.0)	(33.0, 17959.0)	(34.0, 27328.0)	(35.0, 36631.0)	(36.0, 53427.0)	(37.0, 73112.0)	(38.0, 76896.0)	(39.0, 56033.0)	(40.0, 11705.0)	
BD5-S5_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 29.0)	(27.0, 386.0)	(28.0, 2668.0)	(29.0, 12026.0)	(30.0, 37124.0)	(31.0, 85631.0)	(32.0, 157032.0)	(33.0, 261830.0)	(34.0, 472549.0)	(35.0, 1332481.0)	(36.0, 12592169.0)	(37.0, 1222569.0)					
BD5-S5_R1_001_trimmed_1U	(25.0, 22.0)	(26.0, 138.0)	(27.0, 1026.0)	(28.0, 4964.0)	(29.0, 16037.0)	(30.0, 35223.0)	(31.0, 58948.0)	(32.0, 77921.0)	(33.0, 93909.0)	(34.0, 118349.0)	(35.0, 228397.0)	(36.0, 1759911.0)	(37.0, 392021.0)					
BD5-S5_R1_001_trimmed_2P	(24.0, 6.0)	(25.0, 25.0)	(26.0, 192.0)	(27.0, 1286.0)	(28.0, 5778.0)	(29.0, 19909.0)	(30.0, 55157.0)	(31.0, 129602.0)	(32.0, 263789.0)	(33.0, 512890.0)	(34.0, 1092825.0)	(35.0, 3316992.0)	(36.0, 10445772.0)	(37.0, 332272.0)				
BD5-S5_R1_001_trimmed_2U	(24.0, 3.0)	(25.0, 11.0)	(26.0, 106.0)	(27.0, 677.0)	(28.0, 2589.0)	(29.0, 7156.0)	(30.0, 15214.0)	(31.0, 24736.0)	(32.0, 31001.0)	(33.0, 31684.0)	(34.0, 26717.0)	(35.0, 20332.0)	(36.0, 15962.0)	(37.0, 332.0)				
BD5-WYS_R1_001_trimmed_1P	(26.0, 28.0)	(27.0, 393.0)	(28.0, 2824.0)	(29.0, 13009.0)	(30.0, 41128.0)	(31.0, 96243.0)	(32.0, 178000.0)	(33.0, 301182.0)	(34.0, 545697.0)	(35.0, 1547042.0)	(36.0, 14974771.0)	(37.0, 1448672.0)						
BD5-WYS_R1_001_trimmed_1U	(25.0, 19.0)	(26.0, 175.0)	(27.0, 1389.0)	(28.0, 6428.0)	(29.0, 21285.0)	(30.0, 47006.0)	(31.0, 79318.0)	(32.0, 105314.0)	(33.0, 126957.0)	(34.0, 157654.0)	(35.0, 289979.0)	(36.0, 2282906.0)	(37.0, 527531.0)					
BD5-WYS_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 1.0)	(25.0, 33.0)	(26.0, 248.0)	(27.0, 1847.0)	(28.0, 8511.0)	(29.0, 29094.0)	(30.0, 78319.0)	(31.0, 182805.0)	(32.0, 365074.0)	(33.0, 702065.0)	(34.0, 1482713.0)	(35.0, 4391745.0)	(36.0, 11607176.0)	(37.0, 299357.0)			
BD5-WYS_R1_001_trimmed_2U	(24.0, 2.0)	(25.0, 12.0)	(26.0, 159.0)	(27.0, 873.0)	(28.0, 3374.0)	(29.0, 9242.0)	(30.0, 18772.0)	(31.0, 29596.0)	(32.0, 34825.0)	(33.0, 33527.0)	(34.0, 26684.0)	(35.0, 19675.0)	(36.0, 15425.0)	(37.0, 287.0)				
BD5-gam_R1_001_trimmed_1P	(25.0, 17.0)	(26.0, 82.0)	(27.0, 240.0)	(28.0, 616.0)	(29.0, 1602.0)	(30.0, 4482.0)	(31.0, 11278.0)	(32.0, 25754.0)	(33.0, 51314.0)	(34.0, 101666.0)	(35.0, 196310.0)	(36.0, 424071.0)	(37.0, 930703.0)	(38.0, 2623907.0)	(39.0, 15297896.0)	(40.0, 4847207.0)		
BD5-gam_R1_001_trimmed_1U	(24.0, 1.0)	(25.0, 22.0)	(26.0, 159.0)	(27.0, 382.0)	(28.0, 944.0)	(29.0, 2221.0)	(30.0, 5792.0)	(31.0, 12295.0)	(32.0, 24797.0)	(33.0, 42126.0)	(34.0, 69504.0)	(35.0, 109912.0)	(36.0, 182676.0)	(37.0, 290260.0)	(38.0, 470389.0)	(39.0, 2080377.0)	(40.0, 931981.0)	
BD5-gam_R1_001_trimmed_2P	(24.0, 9.0)	(25.0, 128.0)	(26.0, 658.0)	(27.0, 1639.0)	(28.0, 3196.0)	(29.0, 5510.0)	(30.0, 11175.0)	(31.0, 21947.0)	(32.0, 45011.0)	(33.0, 85525.0)	(34.0, 163885.0)	(35.0, 301202.0)	(36.0, 586546.0)	(37.0, 1117080.0)	(38.0, 2781672.0)	(39.0, 14199387.0)	(40.0, 5192575.0)	
BD5-gam_R1_001_trimmed_2U	(24.0, 5.0)	(25.0, 40.0)	(26.0, 189.0)	(27.0, 384.0)	(28.0, 746.0)	(29.0, 1436.0)	(30.0, 3015.0)	(31.0, 5288.0)	(32.0, 9181.0)	(33.0, 14192.0)	(34.0, 21471.0)	(35.0, 29224.0)	(36.0, 41370.0)	(37.0, 49791.0)	(38.0, 55877.0)	(39.0, 50723.0)	(40.0, 6777.0)	
BF16-S5_R1_001_trimmed_1P	(25.0, 14.0)	(26.0, 71.0)	(27.0, 240.0)	(28.0, 659.0)	(29.0, 1634.0)	(30.0, 4997.0)	(31.0, 12165.0)	(32.0, 27740.0)	(33.0, 54361.0)	(34.0, 107534.0)	(35.0, 204898.0)	(36.0, 429217.0)	(37.0, 916537.0)	(38.0, 2707692.0)	(39.0, 16780743.0)	(40.0, 5743403.0)		
BF16-S5_R1_001_trimmed_1U	(25.0, 21.0)	(26.0, 164.0)	(27.0, 449.0)	(28.0, 976.0)	(29.0, 2227.0)	(30.0, 5904.0)	(31.0, 12933.0)	(32.0, 25592.0)	(33.0, 42939.0)	(34.0, 70952.0)	(35.0, 108986.0)	(36.0, 170980.0)	(37.0, 251224.0)	(38.0, 431080.0)	(39.0, 2123759.0)	(40.0, 1176305.0)		
BF16-S5_R1_001_trimmed_2P	(24.0, 12.0)	(25.0, 148.0)	(26.0, 662.0)	(27.0, 1722.0)	(28.0, 3201.0)	(29.0, 5521.0)	(30.0, 11134.0)	(31.0, 21444.0)	(32.0, 44320.0)	(33.0, 83290.0)	(34.0, 164041.0)	(35.0, 305479.0)	(36.0, 594447.0)	(37.0, 1133995.0)	(38.0, 2884903.0)	(39.0, 15503204.0)	(40.0, 6234382.0)	
BF16-S5_R1_001_trimmed_2U	(24.0, 7.0)	(25.0, 39.0)	(26.0, 160.0)	(27.0, 406.0)	(28.0, 809.0)	(29.0, 1522.0)	(30.0, 3271.0)	(31.0, 6325.0)	(32.0, 11457.0)	(33.0, 17651.0)	(34.0, 26345.0)	(35.0, 35292.0)	(36.0, 51365.0)	(37.0, 64418.0)	(38.0, 68469.0)	(39.0, 57640.0)	(40.0, 10344.0)	
BF16-WYS_R1_001_trimmed_1P	(25.0, 4.0)	(26.0, 39.0)	(27.0, 420.0)	(28.0, 2952.0)	(29.0, 14113.0)	(30.0, 43525.0)	(31.0, 103157.0)	(32.0, 191583.0)	(33.0, 327029.0)	(34.0, 597983.0)	(35.0, 1727689.0)	(36.0, 15927871.0)	(37.0, 1433378.0)					
BF16-WYS_R1_001_trimmed_1U	(24.0, 2.0)	(25.0, 17.0)	(26.0, 180.0)	(27.0, 1426.0)	(28.0, 6386.0)	(29.0, 21220.0)	(30.0, 47226.0)	(31.0, 80192.0)	(32.0, 105883.0)	(33.0, 128423.0)	(34.0, 157514.0)	(35.0, 288853.0)	(36.0, 2189678.0)	(37.0, 492429.0)				
BF16-WYS_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 1.0)	(25.0, 25.0)	(26.0, 257.0)	(27.0, 1941.0)	(28.0, 8619.0)	(29.0, 29688.0)	(30.0, 79938.0)	(31.0, 186679.0)	(32.0, 375762.0)	(33.0, 726812.0)	(34.0, 1517573.0)	(35.0, 4437157.0)	(36.0, 12650791.0)	(37.0, 354499.0)			
BF16-WYS_R1_001_trimmed_2U	(24.0, 1.0)	(25.0, 19.0)	(26.0, 134.0)	(27.0, 853.0)	(28.0, 3424.0)	(29.0, 9530.0)	(30.0, 19523.0)	(31.0, 30704.0)	(32.0, 37247.0)	(33.0, 36565.0)	(34.0, 29836.0)	(35.0, 22643.0)	(36.0, 18955.0)	(37.0, 360.0)				
BF16-gam_R1_001_trimmed_1P	(24.0, 1.0)	(25.0, 7.0)	(26.0, 88.0)	(27.0, 229.0)	(28.0, 520.0)	(29.0, 1402.0)	(30.0, 4138.0)	(31.0, 10222.0)	(32.0, 24156.0)	(33.0, 48431.0)	(34.0, 98332.0)	(35.0, 193034.0)	(36.0, 427003.0)	(37.0, 961086.0)	(38.0, 2716423.0)	(39.0, 15933744.0)	(40.0, 5110746.0)	
BF16-gam_R1_001_trimmed_1U	(25.0, 18.0)	(26.0, 143.0)	(27.0, 392.0)	(28.0, 851.0)	(29.0, 2106.0)	(30.0, 5370.0)	(31.0, 11841.0)	(32.0, 23683.0)	(33.0, 40251.0)	(34.0, 67570.0)	(35.0, 104623.0)	(36.0, 174888.0)	(37.0, 275827.0)	(38.0, 464298.0)	(39.0, 2148095.0)	(40.0, 1127067.0)		
BF16-gam_R1_001_trimmed_2P	(24.0, 8.0)	(25.0, 101.0)	(26.0, 648.0)	(27.0, 1492.0)	(28.0, 2816.0)	(29.0, 4885.0)	(30.0, 10501.0)	(31.0, 21497.0)	(32.0, 45627.0)	(33.0, 87713.0)	(34.0, 170763.0)	(35.0, 312372.0)	(36.0, 612556.0)	(37.0, 1178274.0)	(38.0, 2978180.0)	(39.0, 15008502.0)	(40.0, 5093627.0)	
BF16-gam_R1_001_trimmed_2U	(24.0, 6.0)	(25.0, 38.0)	(26.0, 181.0)	(27.0, 372.0)	(28.0, 724.0)	(29.0, 1407.0)	(30.0, 3039.0)	(31.0, 5693.0)	(32.0, 10434.0)	(33.0, 16406.0)	(34.0, 24508.0)	(35.0, 33947.0)	(36.0, 49555.0)	(37.0, 63645.0)	(38.0, 68074.0)	(39.0, 57749.0)	(40.0, 10439.0)	
BF5-S5_R1_001_trimmed_1P	(25.0, 5.0)	(26.0, 30.0)	(27.0, 419.0)	(28.0, 2700.0)	(29.0, 12175.0)	(30.0, 38036.0)	(31.0, 88022.0)	(32.0, 163084.0)	(33.0, 275959.0)	(34.0, 497983.0)	(35.0, 1415900.0)	(36.0, 13378317.0)	(37.0, 1274222.0)					
BF5-S5_R1_001_trimmed_1U	(25.0, 16.0)	(26.0, 191.0)	(27.0, 1266.0)	(28.0, 5655.0)	(29.0, 17640.0)	(30.0, 38496.0)	(31.0, 64586.0)	(32.0, 84585.0)	(33.0, 100470.0)	(34.0, 123500.0)	(35.0, 225468.0)	(36.0, 1852399.0)	(37.0, 467365.0)					
BF5-S5_R1_001_trimmed_2P	(24.0, 3.0)	(25.0, 26.0)	(26.0, 183.0)	(27.0, 1333.0)	(28.0, 6155.0)	(29.0, 21530.0)	(30.0, 58982.0)	(31.0, 140103.0)	(32.0, 283975.0)	(33.0, 555752.0)	(34.0, 1188426.0)	(35.0, 3645494.0)	(36.0, 10929495.0)	(37.0, 315395.0)				
