Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BA19-WYS_R1_001_trimmed_1P	(1.0, 25.73873491362395)	(2.0, 15.439032021154336)	(3.0, 9.488394912960892)	(4.0, 5.977580687907522)	(5.0, 3.9711186166773644)	(6.0, 2.781496137021172)	(7.0, 2.0468861176708235)	(8.0, 1.646694103100431)	(9.0, 1.334923853889115)	('>10', 12.878751710436747)	('>50', 3.591278322147932)	('>100', 8.491645931755082)	('>500', 3.411140989147844)	('>1k', 2.8764173487308096)	('>5k', 0.22949215769228665)	('>10k+', 0.09641217608369983)
BA19-WYS_R1_001_trimmed_1U	(1.0, 40.958953703581386)	(2.0, 18.108932588056277)	(3.0, 9.184665784243325)	(4.0, 5.045083101623189)	(5.0, 3.0237173800551838)	(6.0, 1.9710647972021915)	(7.0, 1.4023965660729691)	(8.0, 1.1275472161799054)	(9.0, 0.8381111278473405)	('>10', 9.146699157170453)	('>50', 3.4870664025283595)	('>100', 5.004476075303675)	('>500', 0.4202042131812361)	('>1k', 0.28108188695452646)	('>5k', 0.0)	('>10k+', 0.0)
BA19-WYS_R1_001_trimmed_2P	(1.0, 25.697539610411358)	(2.0, 14.852656829679844)	(3.0, 9.249149305039515)	(4.0, 5.859017646783111)	(5.0, 3.8853168827849407)	(6.0, 2.7739413422036745)	(7.0, 2.0666274527979875)	(8.0, 1.5871565048979988)	(9.0, 1.3911263592560297)	('>10', 13.214927082792267)	('>50', 3.5194216732596733)	('>100', 8.593055305575433)	('>500', 3.7035802671400364)	('>1k', 3.146644551576065)	('>5k', 0.25842328583904367)	('>10k+', 0.20141589996316095)
BA19-WYS_R1_001_trimmed_2U	(1.0, 75.33055718939224)	(2.0, 9.791868347394253)	(3.0, 3.907411436481784)	(4.0, 1.9481642185225694)	(5.0, 1.5291581028132646)	(6.0, 1.0833651176626131)	(7.0, 0.7707726599578355)	(8.0, 0.5842353975868724)	(9.0, 0.42807291890531224)	('>10', 3.534552367798252)	('>50', 0.16557967956754335)	('>100', 0.14098863804761116)	('>500', 0.7852739258698344)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
BA19-gam_R1_001_trimmed_1P	(1.0, 13.638468104556475)	(2.0, 6.829004151754815)	(3.0, 3.7320064922511555)	(4.0, 2.1813696380229017)	(5.0, 1.472371429889024)	(6.0, 1.091870655828173)	(7.0, 0.8753193390988506)	(8.0, 0.652145873425987)	(9.0, 0.6115607129159552)	('>10', 7.133694052562715)	('>50', 2.6511179295112073)	('>100', 10.291385977291762)	('>500', 8.421142016709084)	('>1k', 26.472494787533606)	('>5k', 8.851655831143278)	('>10k+', 5.094393007505054)
BA19-gam_R1_001_trimmed_1U	(1.0, 23.284294575222592)	(2.0, 8.178206300285515)	(3.0, 3.2666845983515715)	(4.0, 1.8128076741039847)	(5.0, 1.2011309214567496)	(6.0, 0.954357998366352)	(7.0, 0.7556928268403423)	(8.0, 0.6314651186267473)	(9.0, 0.5455886708646682)	('>10', 8.410411529912103)	('>50', 5.252799583423942)	('>100', 20.22332946600179)	('>500', 9.902260223038095)	('>1k', 14.774950421348688)	('>5k', 0.8060200921568382)	('>10k+', 0.0)
BA19-gam_R1_001_trimmed_2P	(1.0, 12.911783569064378)	(2.0, 6.903525765746793)	(3.0, 3.7163709161784046)	(4.0, 2.2129999314449913)	(5.0, 1.4569560703472186)	(6.0, 1.1015181332087136)	(7.0, 0.8145978993176388)	(8.0, 0.6453249592786015)	(9.0, 0.5727816791530562)	('>10', 6.980363203964746)	('>50', 2.6112815453901694)	('>100', 10.36414907460051)	('>500', 8.461924048491404)	('>1k', 26.842044284146144)	('>5k', 8.86143631007527)	('>10k+', 5.542942609591899)
BA19-gam_R1_001_trimmed_2U	(1.0, 32.99718092886516)	(2.0, 3.533636421288743)	(3.0, 1.776303295648126)	(4.0, 1.3104252606641067)	(5.0, 1.0956716815043792)	(6.0, 0.9509983603377385)	(7.0, 0.9177787229104373)	(8.0, 0.8622375234706449)	(9.0, 0.7435277075365299)	('>10', 12.232725439021584)	('>50', 3.8042245634534635)	('>100', 1.9967743741214288)	('>500', 0.0)	('>1k', 0.44616958233584497)	('>5k', 0.0)	('>10k+', 37.332346138841814)
BD5-S5_R1_001_trimmed_1P	(1.0, 26.12456810116082)	(2.0, 15.955933494498357)	(3.0, 9.826863218918817)	(4.0, 6.1867628979118265)	(5.0, 4.009851776514586)	(6.0, 2.9787741405632806)	(7.0, 2.0764773668568637)	(8.0, 1.7059532029823368)	(9.0, 1.399970236000451)	('>10', 15.732137112645184)	('>50', 5.012412388341642)	('>100', 7.352008145080155)	('>500', 1.1372032519842175)	('>1k', 0.5010846665415524)	('>5k', 0.0)	('>10k+', 0.0)
BD5-S5_R1_001_trimmed_1U	(1.0, 42.984698501365095)	(2.0, 19.19765327570889)	(3.0, 9.763411797607139)	(4.0, 5.237773806986728)	(5.0, 3.2422743952046043)	(6.0, 2.219344975630883)	(7.0, 1.6004781478026358)	(8.0, 1.261464776868579)	(9.0, 1.130070140282408)	('>10', 10.309723953890355)	('>50', 1.9899363727727448)	('>100', 1.0373669711347653)	('>500', 0.02580288474516654)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
BD5-S5_R1_001_trimmed_2P	(1.0, 25.781384614752028)	(2.0, 15.35568352755449)	(3.0, 9.434230118639913)	(4.0, 6.165720620590191)	(5.0, 4.0905507235366505)	(6.0, 2.867336930453282)	(7.0, 2.1786296870446535)	(8.0, 1.67931437235168)	(9.0, 1.4715693034305868)	('>10', 15.87297140673945)	('>50', 5.096691219542639)	('>100', 7.93931508583806)	('>500', 1.2959526585684797)	('>1k', 0.7274116155455141)	('>5k', 0.043238115412428786)	('>10k+', 0.0)
BD5-S5_R1_001_trimmed_2U	(1.0, 79.76689900398657)	(2.0, 10.764326781032343)	(3.0, 3.6643489224353427)	(4.0, 1.7578496258834797)	(5.0, 0.9587262646962332)	(6.0, 0.6396406090739902)	(7.0, 0.35718005431490324)	(8.0, 0.2765155262106904)	(9.0, 0.21763794836570216)	('>10', 0.8135513784146486)	('>50', 0.0)	('>100', 0.0)	('>500', 0.7833238855860788)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
BD5-WYS_R1_001_trimmed_1P	(1.0, 23.54670743212708)	(2.0, 14.752416122228377)	(3.0, 9.382030077098525)	(4.0, 6.050409147011618)	(5.0, 4.192786088942968)	(6.0, 2.8548990200275277)	(7.0, 2.216645310099863)	(8.0, 1.7173917043368292)	(9.0, 1.4237575792768633)	('>10', 14.81834660081164)	('>50', 4.200456349424543)	('>100', 8.726697703061138)	('>500', 3.032968979869281)	('>1k', 2.854013967494459)	('>5k', 0.14800869964441998)	('>10k+', 0.08246521854480246)
BD5-WYS_R1_001_trimmed_1U	(1.0, 39.04278863112653)	(2.0, 18.132781193008395)	(3.0, 9.509313101036629)	(4.0, 5.43219986472879)	(5.0, 3.2780602796333445)	(6.0, 2.2586475957262317)	(7.0, 1.6251967617654208)	(8.0, 1.171293977418091)	(9.0, 0.9983683199346836)	('>10', 10.430089009546545)	('>50', 3.2886768262557786)	('>100', 4.304663860492531)	('>500', 0.30462644073213)	('>1k', 0.22329413859491087)	('>5k', 0.0)	('>10k+', 0.0)
BD5-WYS_R1_001_trimmed_2P	(1.0, 23.37070329124543)	(2.0, 14.306144347493479)	(3.0, 8.952533014315737)	(4.0, 5.929509844720932)	(5.0, 4.087867734605663)	(6.0, 2.9246204076632827)	(7.0, 2.1066019570340955)	(8.0, 1.655968544549678)	(9.0, 1.4072651701051933)	('>10', 15.022324311558416)	('>50', 4.3081132820291055)	('>100', 8.81350905165165)	('>500', 3.528168041930203)	('>1k', 3.1908388429635566)	('>5k', 0.27260747078467884)	('>10k+', 0.12322468734908862)
BD5-WYS_R1_001_trimmed_2U	(1.0, 74.9179624853792)	(2.0, 10.595341744198103)	(3.0, 3.8475803452463175)	(4.0, 2.281382747382638)	(5.0, 1.4457990760462254)	(6.0, 1.1668216487242087)	(7.0, 0.712722728746868)	(8.0, 0.544390882727222)	(9.0, 0.4645625870765219)	('>10', 3.261824671293428)	('>50', 0.10891857426111623)	('>100', 0.11465113080117498)	('>500', 0.5380413781169425)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
