Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BF16-WYS_R1_001_trimmed_2U	BF16-WYS_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	209794.0	26.2 Mbp	0.0	50-150	45.0	92.04911434047848	125.41389172235621	150	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
BF16-gam_R1_001_trimmed_1P	BF16-gam_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25529562.0	3.7 Gbp	0.0	50-150	49.0	20.97003404367085	148.48972506853036	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
BF16-gam_R1_001_trimmed_1U	BF16-gam_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4447023.0	544.6 Mbp	0.0	50-150	49.0	32.40675884225415	122.57397218318862	127	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
BF16-gam_R1_001_trimmed_2P	BF16-gam_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25529562.0	3.7 Gbp	0.0	50-150	49.0	20.15399860463883	148.90811845890659	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
BF16-gam_R1_001_trimmed_2U	BF16-gam_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	346217.0	46.8 Mbp	0.0	50-150	63.0	47.195080330802256	135.53649445290094	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
BF5-S5_R1_001_trimmed_1P	BF5-S5_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17146852.0	2.5 Gbp	0.0	50-150	47.0	35.63212222152521	149.31764145395317	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BF5-S5_R1_001_trimmed_1U	BF5-S5_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2981637.0	353.9 Mbp	0.0	50-150	46.0	52.282243206636295	118.75769535325729	122	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
BF5-S5_R1_001_trimmed_2P	BF5-S5_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17146852.0	2.5 Gbp	0.0	50-150	47.0	34.86692765967849	148.34629059024945	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BF5-S5_R1_001_trimmed_2U	BF5-S5_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	183172.0	22.9 Mbp	0.0	50-150	47.0	81.67268778541634	125.43378081802895	150	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
BF5-WYS_R1_001_trimmed_1P	BF5-WYS_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20030767.0	2.9 Gbp	0.0	50-150	46.0	41.310462765424624	149.3354198818248	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BF5-WYS_R1_001_trimmed_1U	BF5-WYS_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3364509.0	409.1 Mbp	0.0	50-150	45.0	58.597893893027795	121.67305734655487	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
BF5-WYS_R1_001_trimmed_2P	BF5-WYS_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20030767.0	2.9 Gbp	0.0	50-150	46.0	41.01734377281298	147.4907104655553	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BF5-WYS_R1_001_trimmed_2U	BF5-WYS_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	190259.0	23.4 Mbp	0.0	50-150	45.0	84.47656972340226	123.44764768026742	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	fail	pass
BF5-gam_R1_001_trimmed_1P	BF5-gam_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21168643.0	3.1 Gbp	0.0	50-150	46.0	32.54329755415951	149.3508306129968	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BF5-gam_R1_001_trimmed_1U	BF5-gam_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4687916.0	560.1 Mbp	0.0	50-150	46.0	44.39529583112332	119.54056152030027	122	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BF5-gam_R1_001_trimmed_2P	BF5-gam_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21168643.0	3.1 Gbp	0.0	50-150	46.0	32.017923608774844	148.12142814255972	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BF5-gam_R1_001_trimmed_2U	BF5-gam_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	211302.0	26.2 Mbp	0.0	50-150	46.0	84.79814943634216	124.1613780276571	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
Cross-S5-1_R1_001_trimmed_1P	Cross-S5-1_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21923751.0	3.2 Gbp	0.0	50-150	46.0	40.38395966475471	149.34605918941517	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
Cross-S5-1_R1_001_trimmed_1U	Cross-S5-1_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3822980.0	459.6 Mbp	0.0	50-150	46.0	57.4209738006915	120.28910928124134	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
Cross-S5-1_R1_001_trimmed_2P	Cross-S5-1_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21923751.0	3.2 Gbp	0.0	50-150	46.0	40.34150947502706	147.4761715958186	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
Cross-S5-1_R1_001_trimmed_2U	Cross-S5-1_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	199086.0	24.4 Mbp	0.0	50-150	46.0	83.48419370943701	122.87006620254563	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
Cross-S5-2_R1_001_trimmed_1P	Cross-S5-2_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23104963.0	3.4 Gbp	0.0	50-150	46.0	41.4912614580593	149.3862961174186	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
Cross-S5-2_R1_001_trimmed_1U	Cross-S5-2_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3778696.0	457.9 Mbp	0.0	50-150	46.0	59.37754222050885	121.26505413507729	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
Cross-S5-2_R1_001_trimmed_2P	Cross-S5-2_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23104963.0	3.4 Gbp	0.0	50-150	46.0	40.4727916974822	147.58511755677773	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
Cross-S5-2_R1_001_trimmed_2U	Cross-S5-2_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	204075.0	25.2 Mbp	0.0	50-150	46.0	91.56480144801277	124.09349748866838	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
Cross-S5-3_R1_001_trimmed_1P	Cross-S5-3_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19040106.0	2.8 Gbp	0.0	50-150	47.0	35.460153636399504	149.33628539147838	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
Cross-S5-3_R1_001_trimmed_1U	Cross-S5-3_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3471161.0	415.5 Mbp	0.0	50-150	46.0	51.05748069496664	119.76864585076866	122	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
Cross-S5-3_R1_001_trimmed_2P	Cross-S5-3_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19040106.0	2.8 Gbp	0.0	50-150	47.0	34.941134199884196	147.89609853012374	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
Cross-S5-3_R1_001_trimmed_2U	Cross-S5-3_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	188231.0	23.3 Mbp	0.0	50-150	46.0	77.98343202144375	123.9648198224522	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
Cross-WYS-1_R1_001_trimmed_1P	Cross-WYS-1_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20011126.0	2.9 Gbp	0.0	50-150	46.0	41.32936965755353	149.30704469103839	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
Cross-WYS-1_R1_001_trimmed_1U	Cross-WYS-1_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3759233.0	449.1 Mbp	0.0	50-150	45.0	57.735958771112706	119.52575924397344	122	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
Cross-WYS-1_R1_001_trimmed_2P	Cross-WYS-1_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20011126.0	2.9 Gbp	0.0	50-150	46.0	41.013069710508724	147.89535111617408	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
Cross-WYS-1_R1_001_trimmed_2U	Cross-WYS-1_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	200534.0	24.8 Mbp	0.0	50-150	45.0	84.02506981375254	124.19202728714333	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
Cross-WYS-2_R1_001_trimmed_1P	Cross-WYS-2_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19910143.0	2.9 Gbp	0.0	50-150	46.0	43.50158219403822	149.2649535465416	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
Cross-WYS-2_R1_001_trimmed_1U	Cross-WYS-2_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2846101.0	342.6 Mbp	0.0	50-150	45.0	63.13469796040373	120.4568887400693	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
Cross-WYS-2_R1_001_trimmed_2P	Cross-WYS-2_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19910143.0	2.9 Gbp	0.0	50-150	46.0	42.54058393935279	147.98910678341184	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
Cross-WYS-2_R1_001_trimmed_2U	Cross-WYS-2_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	209563.0	26.2 Mbp	0.0	50-150	45.0	91.44947546416489	125.2636414825136	150	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
