gene.category,module,fisher,estimate,fisher.p.value,conf.low,conf.high,method,alternative,fisher.fdr
Mature.ovule..whole.,upHermaphrodite,,0.8631998950951741,0.8897846938728131,0.6930912514735266,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Peripheral.Endosperm..PEN.,upMale,,0.8969224367903496,0.8900473961505027,0.7661821358216707,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Linear.cotyledon.stage.seed,upMale,,0.8347583772920617,0.900361099209738,0.6420308102398382,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Post.pollination.stage.pollen,upHermaphrodite,,0.8789677274753973,0.9047334624997221,0.7369622841959205,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Maturation.stage.pollen,upHermaphrodite,,0.8141970616359508,0.9143350544245794,0.6142934116282942,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Chalazal.Seed.Coat..CZSC.,upMale,,0.864590871703788,0.9250834145264841,0.7215003087789943,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Mature.green.stage.seed,upMale,,0.8211424721488556,0.9253342297738187,0.6375627975921473,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Integuments,upMale,,0.7310643644776794,0.9365585173316093,0.48699058448613636,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Mature.pollen,upHermaphrodite,,0.8395349902618316,0.9539509992410222,0.6972893134978152,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Carpel.expressed.3,upMale,,0.7469170751465662,0.9584711011801177,0.5422691042181748,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Carpel.expressed.4,upHermaphrodite,,0.7204771288948949,0.9726744757719319,0.5212394938214736,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Ovule.Nucellus,upMale,,0.9377841207257906,0.9804953475961433,0.8902006790533997,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Ovule.Nucellus,upHermaphrodite,,0.9360473196746926,0.9857911799387846,0.8900376286626979,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Early.ovule..whole.,upHermaphrodite,,0.9245395589161953,0.9858461660215052,0.8705119089366969,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Stamen.all.tissues,upHermaphrodite,,0.8582311075103273,0.9865385938406253,0.7614170212674418,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Early.stage.pollen,upHermaphrodite,,0.6715756661131229,0.9872855817955697,0.4777853397669474,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Stamen.sporophyte.specific,upHermaphrodite,,0.7694550225457715,0.9881313831099583,0.6242872591158024,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Micropylar.Endosperm..MCE.,upMale,,0.8074260047824788,0.9902452960549846,0.6866185445826605,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Stamen.expressed.7,upHermaphrodite,,0.8429700871807149,0.9959410052495803,0.754122824630446,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Carpel.specific,upHermaphrodite,,0.5713960680162252,0.9977826722285821,0.3885084077378901,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Unicellular.stage.pollen,upHermaphrodite,,0.37519177692833783,0.9997792657447048,0.20222314240395656,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Vegetative.specific..seedling.leaf.root.stem.,upMale,,0.6443127853373685,0.9999244508041203,0.521014663786535,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Megaspore.Mother.Cell,upMale,,0.8091549060950207,0.9999999963264421,0.7606360972278386,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
