geneID,logFC,logCPM,F,PValue,FDR
Ceric.32G007500.v2.1,-4.388399080100089,2.802323212178048,266.73678210618425,1.805240945603496e-7,2.5170888216105054e-4
Ceric.32G022000.v2.1,-4.300957085500678,3.670108114953842,277.46719934322965,1.4796503814850893e-7,2.5170888216105054e-4
Ceric.18G001800.v2.1,-5.1220898451581505,1.0221848690726112,132.08492243184818,5.721043696700203e-7,3.476328635147693e-4
Ceric.30G050100.v2.1,-6.695330763402789,3.907354679648633,488.52092478248426,1.4888378535951879e-8,2.5170888216105054e-4
Ceric.11G091400.v2.1,6.015228653088169,3.772851040951712,266.6861558060753,1.7422090672356343e-7,2.5170888216105054e-4
Ceric.21G075300.v2.1,6.484478107560904,3.1123982860004946,177.55138446495894,9.133840770971678e-7,3.700051238240842e-4
Ceric.36G000100.v2.1,6.114679317273145,3.406640972225597,211.4362136530563,4.433963233633823e-7,3.056841236715086e-4
Ceric.27G035200.v2.1,7.509830664556677,1.2368721618793819,144.85787258378048,7.499217598662437e-8,2.5170888216105054e-4
Ceric.1Z280800.v2.1,5.035329271510006,5.021222031310888,96.52695977214687,8.772051539280901e-6,9.13755368675094e-4
Ceric.24G081900.v2.1,5.398819159759028,5.153480290926418,95.89492648359828,8.993923484872384e-6,9.150794243329461e-4
Ceric.16G059000.v2.1,6.858096111369839,2.425386085920091,208.87224996604184,3.6535619041648354e-7,2.854345237628778e-4
Ceric.26G004600.v2.1,6.538576806552747,4.418515332960069,235.9254972439549,2.812478382644632e-7,2.7815769748439697e-4
Ceric.21G075200.v2.1,6.574496823703574,5.986232856988612,103.4379374733679,6.757849926723533e-6,8.193231113490772e-4
Ceric.11G029500.v2.1,6.467648041088384,3.9156253187660655,148.54823816163767,1.7315694306520169e-6,4.794693834875047e-4
Ceric.21G075100.v2.1,7.2810421336976265,5.418584707778079,124.52724286066825,3.3509859763638046e-6,5.911517599432115e-4
Ceric.13G000100.v2.1,4.5685582822179445,7.034639885361967,436.41754199098693,2.418261798786632e-8,2.5170888216105054e-4
Ceric.1Z237000.v2.1,4.8788713606501855,1.8797944418743975,115.26853063962095,4.683766708357139e-6,6.801995493473397e-4
Ceric.29G005200.v2.1,3.9058627288515226,1.8211511694376092,109.88247929929545,5.4212624517700626e-6,7.365845722513673e-4
Ceric.17G026400.v2.1,3.6187331694705844,1.9400846627189048,104.64515019099035,6.495216668379881e-6,8.193231113490772e-4
Ceric.06G010300.v2.1,4.338792131571771,0.659226415702499,121.98893637385704,3.847784562852014e-6,6.244225244928929e-4
Ceric.12G011300.v2.1,4.115783192624659,3.4456478042830017,228.3045703600251,3.1605972721256805e-7,2.7815769748439697e-4
Ceric.08G054200.v2.1,4.503899831862729,0.9253432697030601,144.63549167469515,2.0163562827858826e-6,5.175573980505566e-4
Ceric.26G000100.v2.1,4.71740297679721,1.7081751615064804,145.2617444619047,1.938576806700961e-6,5.048377100783754e-4
Ceric.17G046900.v2.1,4.6596283129019875,2.455597344881493,176.4883128217429,8.772595775181038e-7,3.700051238240842e-4
Ceric.05G048200.v2.1,5.948406467939482,-0.3302273167356053,106.1343978886217,3.892365818707797e-7,2.9360518029045884e-4
Ceric.23G028900.v2.1,5.038758390745428,0.7339908796475565,141.58397240304885,1.876868160816097e-6,5.006889148518551e-4
Ceric.24G015300.v2.1,6.637177355547122,-0.4060387437692992,62.65129911317418,9.58905337008716e-6,9.622043232598928e-4
Ceric.05G043000.v2.1,3.90409024626542,6.880468927647534,131.77968489931644,2.6770828041747366e-6,5.524640220879468e-4
Ceric.05G040300.v2.1,4.414262850961086,4.36174801668603,103.82255326725185,6.65951310632866e-6,8.193231113490772e-4
Ceric.1Z280900.v2.1,4.649331554229018,5.083761501588687,126.13544018571568,3.1687712615673193e-6,5.883514956075542e-4
Ceric.38G027400.v2.1,5.691851068878488,0.5369274798632876,83.90590744970481,7.74292229532893e-6,8.685970523606172e-4
Ceric.11G091500.v2.1,4.948731635073983,8.391416266242784,113.79648765669185,4.695320317780493e-6,6.801995493473397e-4
Ceric.09G038900.v2.1,4.666066128343365,4.6282859851976985,273.99576147996225,1.5380560914630809e-7,2.5170888216105054e-4
Ceric.27G035300.v2.1,5.62186712190919,0.9563247076774354,276.2845170322413,9.933457536947323e-8,2.5170888216105054e-4
Ceric.20G033400.v2.1,4.897431868386188,2.2320738116948906,181.3318208438154,8.042931321522516e-7,3.700051238240842e-4
Ceric.27G071200.v2.1,4.8940642655488595,11.759478403769217,233.49734873969726,2.8869814849629454e-7,2.7815769748439697e-4
Ceric.28G052200.v2.1,2.956978420914125,1.6519868250348817,98.53276483046365,8.14199493930801e-6,8.689464640015585e-4
Ceric.33G019000.v2.1,2.9288118580693694,3.3342600281530976,99.53767134393907,7.810669565806458e-6,8.689464640015585e-4
Ceric.04G027700.v2.1,3.406013202452501,2.9233900391509153,259.4974616730503,1.9081764026385426e-7,2.5170888216105054e-4
Ceric.38G027100.v2.1,4.518034564360675,-1.1502379707981902,76.43252104104637,4.457046825955405e-6,6.677938309436607e-4
Ceric.09G025600.v2.1,2.7277691120343133,7.548312870141551,98.67899487832328,8.066386224957776e-6,8.689464640015585e-4
Ceric.35G066200.v2.1,1.4267763204200485,5.913509029586643,93.15184312048261,1.0025053062352316e-5,9.833992634033942e-4
Ceric.11G044000.v2.1,1.3205130954317992,6.216171582620431,98.2226720855784,8.20889443572577e-6,8.716969212694234e-4
Ceric.03G078600.v2.1,2.400663176751021,4.460597533983425,132.97521474595501,2.5860505728927947e-6,5.492219056507755e-4
