"hubGene","genes","cor"
"Ceric.08G017200.1","Ceric.30G011800.1",0.675
"Ceric.08G017200.1","Ceric.08G019200.1",0.672
"Ceric.08G017200.1","Ceric.08G018600.1",0.671
"Ceric.08G017200.1","Ceric.1Z168800.1",0.664
"Ceric.22G078900.1","Ceric.22G078900.1",1
"Ceric.22G078900.1","Ceric.16G059800.1",0.893
"Ceric.22G078900.1","Ceric.38G001000.1",0.891
"Ceric.22G078900.1","Ceric.32G068300.1",0.885
"Ceric.22G078900.1","Ceric.09G009600.1",0.869
"Ceric.22G078900.1","Ceric.30G035300.1",0.866
"Ceric.22G078900.1","Ceric.06G010000.1",0.863
"Ceric.22G078900.1","Ceric.05G013900.1",0.853
"Ceric.22G078900.1","Ceric.27G014300.1",0.852
"Ceric.22G078900.1","Ceric.17G019700.1",0.85
"Ceric.08G018900.1","Ceric.08G018900.1",1
"Ceric.08G018900.1","Ceric.10G011600.1",0.767
"Ceric.08G018900.1","Ceric.22G062700.1",0.759
"Ceric.08G018900.1","Ceric.23G000900.1",0.754
"Ceric.08G018900.1","Ceric.34G000600.1",0.742
"Ceric.08G018900.1","Ceric.37G027000.1",0.741
"Ceric.08G018900.1","Ceric.34G018600.1",0.739
"Ceric.08G018900.1","Ceric.36G025500.1",0.722
"Ceric.08G018900.1","Ceric.26G049800.1",0.719
"Ceric.08G018900.1","Ceric.08G019600.1",0.712
"Ceric.12G070200.1","Ceric.12G070200.1",1
"Ceric.12G070200.1","Ceric.37G023400.1",0.786
"Ceric.12G070200.1","Ceric.21G057000.1",0.783
"Ceric.12G070200.1","Ceric.34G019100.1",0.752
"Ceric.12G070200.1","Ceric.19G007900.1",0.75
"Ceric.12G070200.1","Ceric.16G054800.1",0.749
"Ceric.12G070200.1","Ceric.02G007000.1",0.748
"Ceric.12G070200.1","Ceric.09G027100.1",0.747
"Ceric.12G070200.1","Ceric.25G071100.1",0.744
"Ceric.12G070200.1","Ceric.39G025300.1",0.742
"Ceric.12G070200.1","Ceric.34G032000.1",0.733
"Ceric.12G070200.1","Ceric.02G062100.1",0.725
"Ceric.12G070200.1","Ceric.16G056600.1",0.72
"Ceric.12G070200.1","Ceric.31G008100.1",0.719
"Ceric.12G070200.1","Ceric.11G027700.1",0.718
"Ceric.12G070200.1","Ceric.23G074700.1",0.717
"Ceric.12G070200.1","Ceric.26G023000.1",0.717
"Ceric.12G070200.1","Ceric.13G071300.1",0.716
"Ceric.12G070200.1","Ceric.38G050000.1",0.712
"Ceric.12G070200.1","Ceric.11G017100.1",0.702
"Ceric.12G070200.1","Ceric.16G028500.1",0.702
"Ceric.12G070200.1","Ceric.26G006800.1",0.693
"Ceric.12G070200.1","Ceric.26G050700.1",0.692
"Ceric.12G070200.1","Ceric.39G015400.1",0.692
"Ceric.12G070200.1","Ceric.21G035400.1",0.691
"Ceric.12G070200.1","Ceric.24G011000.1",0.691
"Ceric.12G070200.1","Ceric.23G025100.1",0.69
"Ceric.12G070200.1","Ceric.02G042300.1",0.689
"Ceric.12G070200.1","Ceric.28G006400.1",0.689
"Ceric.12G070200.1","Ceric.02G071000.1",0.688
"Ceric.12G070200.1","Ceric.07G064800.1",0.686
"Ceric.12G070200.1","Ceric.04G017300.1",0.682
"Ceric.12G070200.1","Ceric.07G081200.1",0.682
"Ceric.12G070200.1","Ceric.03G044000.1",0.681
"Ceric.12G070200.1","Ceric.10G007200.1",0.679
"Ceric.12G070200.1","Ceric.02G020400.1",0.677
"Ceric.12G070200.1","Ceric.35G044500.1",0.676
"Ceric.12G070200.1","Ceric.1Z072500.1",0.673
"Ceric.12G070200.1","Ceric.35G032000.1",0.673
"Ceric.12G070200.1","Ceric.19G058000.1",0.669
"Ceric.12G070200.1","Ceric.03G068300.1",0.668
"Ceric.12G070200.1","Ceric.12G072100.1",0.665
"Ceric.12G070200.1","Ceric.11G084400.1",0.664
"Ceric.12G070200.1","Ceric.31G042300.1",0.663
"Ceric.12G070200.1","Ceric.01G087600.1",0.662
"Ceric.12G070200.1","Ceric.25G071200.1",0.662
"Ceric.12G070200.1","Ceric.34G043500.1",0.66
"Ceric.12G070200.1","Ceric.31G012800.1",0.659
"Ceric.12G070200.1","Ceric.12G067300.1",0.658
"Ceric.12G070200.1","Ceric.21G052900.1",0.656
"Ceric.12G070200.1","Ceric.03G061300.1",0.655
"Ceric.12G070200.1","Ceric.21G071100.1",0.655
"Ceric.12G070200.1","Ceric.05G100100.1",0.654
"Ceric.12G070200.1","Ceric.17G013800.1",0.653
"Ceric.12G070200.1","Ceric.17G058500.1",0.653
"Ceric.12G070200.1","Ceric.21G032100.1",0.652
"Ceric.12G070200.1","Ceric.04G044300.1",0.649
"Ceric.12G070200.1","Ceric.1Z062200.1",0.649
"Ceric.12G070200.1","Ceric.22G080400.1",0.649
"Ceric.12G070200.1","Ceric.1Z174800.1",0.648
"Ceric.32G054200.1","Ceric.32G054200.1",1
"Ceric.32G054200.1","Ceric.12G031300.1",0.698
"Ceric.32G054200.1","Ceric.28G000800.1",0.695
"Ceric.32G054200.1","Ceric.03G048500.1",0.682
"Ceric.32G054200.1","Ceric.35G001100.1",0.665
"Ceric.32G054200.1","Ceric.30G013100.1",0.66
"Ceric.32G054200.1","Ceric.12G016300.1",0.656
"Ceric.32G054200.1","Ceric.12G017500.1",0.648
"Ceric.32G054200.1","Ceric.27G003900.1",0.634
"Ceric.32G054200.1","Ceric.02G092600.1",0.628
"Ceric.32G054200.1","Ceric.31G031900.1",0.627
"Ceric.32G054200.1","Ceric.26G048300.1",0.624
"Ceric.32G054200.1","Ceric.35G050800.1",0.614
"Ceric.32G054200.1","Ceric.01G107800.1",0.603
"Ceric.32G054200.1","Ceric.18G081300.1",0.601
"Ceric.32G054200.1","Ceric.17G016600.1",0.599
"Ceric.32G054200.1","Ceric.14G060600.1",0.596
"Ceric.32G054200.1","Ceric.18G015000.1",0.592
"Ceric.32G054200.1","Ceric.20G004400.1",0.591
"Ceric.32G054200.1","Ceric.33G013600.1",0.591
"Ceric.32G054200.1","Ceric.20G031000.1",0.585
"Ceric.32G054200.1","Ceric.32G063400.1",0.585
"Ceric.32G054200.1","Ceric.30G043600.1",0.584
"Ceric.32G054200.1","Ceric.27G001500.1",0.583
"Ceric.32G054200.1","Ceric.07G072200.1",0.578
"Ceric.32G054200.1","Ceric.10G027900.1",0.575
"Ceric.32G054200.1","Ceric.26G010100.1",0.572
"Ceric.32G054200.1","Ceric.16G035400.1",0.57
"Ceric.32G054200.1","Ceric.35G037500.1",0.569
"Ceric.32G054200.1","Ceric.23G053700.1",0.567
"Ceric.09G051000.1","Ceric.09G051000.1",1
"Ceric.09G051000.1","Ceric.29G039700.1",0.577
"Ceric.09G051000.1","Ceric.1Z321200.1",0.567
"Ceric.09G051000.1","Ceric.11G086300.1",0.556
"Ceric.09G051000.1","Ceric.13G008300.1",0.556
"Ceric.09G051000.1","Ceric.01G104400.1",0.546
"Ceric.09G051000.1","Ceric.09G051500.1",0.545
"Ceric.09G051000.1","Ceric.11G077400.1",0.537
"Ceric.09G051000.1","Ceric.16G016700.1",0.518
"Ceric.09G051000.1","Ceric.05G001700.1",0.511
