Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
BF16-S5_R2_001	(13.0, 8.0)	(14.0, 110.0)	(15.0, 878.0)	(16.0, 5421.0)	(17.0, 18423.0)	(18.0, 39440.0)	(19.0, 54051.0)	(20.0, 63330.0)	(21.0, 62364.0)	(22.0, 60741.0)	(23.0, 57572.0)	(24.0, 62100.0)	(25.0, 65877.0)	(26.0, 74599.0)	(27.0, 79778.0)	(28.0, 90908.0)	(29.0, 101339.0)	(30.0, 120154.0)	(31.0, 139243.0)	(32.0, 175021.0)	(33.0, 219928.0)	(34.0, 311746.0)	(35.0, 456720.0)	(36.0, 784550.0)	(37.0, 1423162.0)	(38.0, 3549575.0)	(39.0, 17341490.0)	(40.0, 6739420.0)	
BF16-WYS_R1_001	(13.0, 1.0)	(14.0, 13.0)	(15.0, 48.0)	(16.0, 135.0)	(17.0, 314.0)	(18.0, 736.0)	(19.0, 1084.0)	(20.0, 1555.0)	(21.0, 2333.0)	(22.0, 3779.0)	(23.0, 6874.0)	(24.0, 13050.0)	(25.0, 24331.0)	(26.0, 41092.0)	(27.0, 68122.0)	(28.0, 102581.0)	(29.0, 145399.0)	(30.0, 194527.0)	(31.0, 252900.0)	(32.0, 331289.0)	(33.0, 466333.0)	(34.0, 796555.0)	(35.0, 2115760.0)	(36.0, 18140200.0)	(37.0, 1645345.0)				
BF16-WYS_R2_001	(11.0, 31.0)	(12.0, 331.0)	(13.0, 1167.0)	(14.0, 1610.0)	(15.0, 1859.0)	(16.0, 2264.0)	(17.0, 3150.0)	(18.0, 4628.0)	(19.0, 7004.0)	(20.0, 10759.0)	(21.0, 16156.0)	(22.0, 23484.0)	(23.0, 32973.0)	(24.0, 44048.0)	(25.0, 57400.0)	(26.0, 74569.0)	(27.0, 99167.0)	(28.0, 130441.0)	(29.0, 174282.0)	(30.0, 237233.0)	(31.0, 337398.0)	(32.0, 509189.0)	(33.0, 854591.0)	(34.0, 1746424.0)	(35.0, 5173911.0)	(36.0, 14395186.0)	(37.0, 415101.0)		
BF16-gam_R1_001	(16.0, 2.0)	(17.0, 97.0)	(18.0, 1110.0)	(19.0, 4601.0)	(20.0, 12191.0)	(21.0, 19290.0)	(22.0, 23959.0)	(23.0, 26326.0)	(24.0, 30489.0)	(25.0, 34971.0)	(26.0, 42724.0)	(27.0, 51432.0)	(28.0, 69678.0)	(29.0, 89255.0)	(30.0, 129647.0)	(31.0, 183173.0)	(32.0, 244571.0)	(33.0, 272597.0)	(34.0, 248801.0)	(35.0, 345496.0)	(36.0, 609663.0)	(37.0, 1130875.0)	(38.0, 3086791.0)	(39.0, 18038426.0)	(40.0, 5943465.0)				
BF16-gam_R2_001	(13.0, 3.0)	(14.0, 97.0)	(15.0, 685.0)	(16.0, 4596.0)	(17.0, 16842.0)	(18.0, 37247.0)	(19.0, 51826.0)	(20.0, 60829.0)	(21.0, 60299.0)	(22.0, 59781.0)	(23.0, 57264.0)	(24.0, 60930.0)	(25.0, 64569.0)	(26.0, 72425.0)	(27.0, 78847.0)	(28.0, 90041.0)	(29.0, 100784.0)	(30.0, 121657.0)	(31.0, 144356.0)	(32.0, 185549.0)	(33.0, 234653.0)	(34.0, 335701.0)	(35.0, 494378.0)	(36.0, 852229.0)	(37.0, 1534239.0)	(38.0, 3684475.0)	(39.0, 16754505.0)	(40.0, 5480823.0)	
BF5-S5_R1_001	(14.0, 4.0)	(15.0, 26.0)	(16.0, 98.0)	(17.0, 231.0)	(18.0, 514.0)	(19.0, 777.0)	(20.0, 1077.0)	(21.0, 1662.0)	(22.0, 3246.0)	(23.0, 5952.0)	(24.0, 11703.0)	(25.0, 21804.0)	(26.0, 36643.0)	(27.0, 57793.0)	(28.0, 87074.0)	(29.0, 122977.0)	(30.0, 163838.0)	(31.0, 213226.0)	(32.0, 286576.0)	(33.0, 438627.0)	(34.0, 709824.0)	(35.0, 1740007.0)	(36.0, 15151830.0)	(37.0, 1476356.0)					
BF5-S5_R2_001	(11.0, 29.0)	(12.0, 256.0)	(13.0, 830.0)	(14.0, 1239.0)	(15.0, 1292.0)	(16.0, 1600.0)	(17.0, 2167.0)	(18.0, 3127.0)	(19.0, 5031.0)	(20.0, 7817.0)	(21.0, 11990.0)	(22.0, 17923.0)	(23.0, 25833.0)	(24.0, 34584.0)	(25.0, 44288.0)	(26.0, 57989.0)	(27.0, 76057.0)	(28.0, 100448.0)	(29.0, 135059.0)	(30.0, 184386.0)	(31.0, 262703.0)	(32.0, 397301.0)	(33.0, 674145.0)	(34.0, 1407391.0)	(35.0, 4313065.0)	(36.0, 12399236.0)	(37.0, 366079.0)		
BF5-WYS_R1_001	(13.0, 1.0)	(14.0, 12.0)	(15.0, 49.0)	(16.0, 154.0)	(17.0, 514.0)	(18.0, 1255.0)	(19.0, 1807.0)	(20.0, 2174.0)	(21.0, 2776.0)	(22.0, 4379.0)	(23.0, 7469.0)	(24.0, 13605.0)	(25.0, 24528.0)	(26.0, 41384.0)	(27.0, 66086.0)	(28.0, 100671.0)	(29.0, 142237.0)	(30.0, 190142.0)	(31.0, 248070.0)	(32.0, 324598.0)	(33.0, 455419.0)	(34.0, 777032.0)	(35.0, 2056636.0)	(36.0, 17776441.0)	(37.0, 1610256.0)				
BF5-WYS_R2_001	(11.0, 28.0)	(12.0, 420.0)	(13.0, 1193.0)	(14.0, 1699.0)	(15.0, 2136.0)	(16.0, 2724.0)	(17.0, 4119.0)	(18.0, 6519.0)	(19.0, 10245.0)	(20.0, 15590.0)	(21.0, 22608.0)	(22.0, 32280.0)	(23.0, 44649.0)	(24.0, 58980.0)	(25.0, 75478.0)	(26.0, 95657.0)	(27.0, 124253.0)	(28.0, 161074.0)	(29.0, 212945.0)	(30.0, 286952.0)	(31.0, 404225.0)	(32.0, 605340.0)	(33.0, 1004918.0)	(34.0, 2027124.0)	(35.0, 5675819.0)	(36.0, 12682496.0)	(37.0, 288224.0)		
BF5-gam_R1_001	(13.0, 3.0)	(14.0, 10.0)	(15.0, 47.0)	(16.0, 138.0)	(17.0, 324.0)	(18.0, 746.0)	(19.0, 1168.0)	(20.0, 1565.0)	(21.0, 2358.0)	(22.0, 4062.0)	(23.0, 7285.0)	(24.0, 14097.0)	(25.0, 26053.0)	(26.0, 45038.0)	(27.0, 74202.0)	(28.0, 112427.0)	(29.0, 158766.0)	(30.0, 211946.0)	(31.0, 274210.0)	(32.0, 357197.0)	(33.0, 505567.0)	(34.0, 870383.0)	(35.0, 2203312.0)	(36.0, 19572330.0)	(37.0, 1914583.0)				
