Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
WT-S5-2_R2_001	(11.0, 31.0)	(12.0, 423.0)	(13.0, 1272.0)	(14.0, 1633.0)	(15.0, 1732.0)	(16.0, 2207.0)	(17.0, 3287.0)	(18.0, 5087.0)	(19.0, 8177.0)	(20.0, 12593.0)	(21.0, 18491.0)	(22.0, 26793.0)	(23.0, 38172.0)	(24.0, 51781.0)	(25.0, 68634.0)	(26.0, 89860.0)	(27.0, 119015.0)	(28.0, 155413.0)	(29.0, 207045.0)	(30.0, 279960.0)	(31.0, 393169.0)	(32.0, 587636.0)	(33.0, 969646.0)	(34.0, 1947832.0)	(35.0, 5580925.0)	(36.0, 14686627.0)	(37.0, 394929.0)		
WT-S5-3_R1_001	(14.0, 2.0)	(15.0, 29.0)	(16.0, 66.0)	(17.0, 231.0)	(18.0, 580.0)	(19.0, 903.0)	(20.0, 1319.0)	(21.0, 1852.0)	(22.0, 3129.0)	(23.0, 5728.0)	(24.0, 10982.0)	(25.0, 21030.0)	(26.0, 37334.0)	(27.0, 62531.0)	(28.0, 95664.0)	(29.0, 138517.0)	(30.0, 186470.0)	(31.0, 244496.0)	(32.0, 323999.0)	(33.0, 470757.0)	(34.0, 810196.0)	(35.0, 2106149.0)	(36.0, 18010247.0)	(37.0, 1548531.0)					
WT-S5-3_R2_001	(11.0, 25.0)	(12.0, 311.0)	(13.0, 1159.0)	(14.0, 1585.0)	(15.0, 1636.0)	(16.0, 1934.0)	(17.0, 2789.0)	(18.0, 4470.0)	(19.0, 6936.0)	(20.0, 11036.0)	(21.0, 16515.0)	(22.0, 23754.0)	(23.0, 33524.0)	(24.0, 44454.0)	(25.0, 58567.0)	(26.0, 77021.0)	(27.0, 101238.0)	(28.0, 133529.0)	(29.0, 178529.0)	(30.0, 242329.0)	(31.0, 341986.0)	(32.0, 513154.0)	(33.0, 851492.0)	(34.0, 1712241.0)	(35.0, 4956432.0)	(36.0, 14326806.0)	(37.0, 437290.0)		
WT-WYS-2_R1_001	(13.0, 2.0)	(14.0, 7.0)	(15.0, 43.0)	(16.0, 135.0)	(17.0, 329.0)	(18.0, 819.0)	(19.0, 1296.0)	(20.0, 1695.0)	(21.0, 2280.0)	(22.0, 3612.0)	(23.0, 5959.0)	(24.0, 11027.0)	(25.0, 20340.0)	(26.0, 36277.0)	(27.0, 60292.0)	(28.0, 92608.0)	(29.0, 133966.0)	(30.0, 178536.0)	(31.0, 233462.0)	(32.0, 307931.0)	(33.0, 432236.0)	(34.0, 745166.0)	(35.0, 2023119.0)	(36.0, 16930179.0)	(37.0, 1369716.0)				
WT-WYS-2_R2_001	(11.0, 25.0)	(12.0, 332.0)	(13.0, 1098.0)	(14.0, 1324.0)	(15.0, 1572.0)	(16.0, 2132.0)	(17.0, 3307.0)	(18.0, 5295.0)	(19.0, 8041.0)	(20.0, 12220.0)	(21.0, 17996.0)	(22.0, 25224.0)	(23.0, 35188.0)	(24.0, 46998.0)	(25.0, 62166.0)	(26.0, 81648.0)	(27.0, 107247.0)	(28.0, 141155.0)	(29.0, 189472.0)	(30.0, 257241.0)	(31.0, 364004.0)	(32.0, 549483.0)	(33.0, 911352.0)	(34.0, 1834331.0)	(35.0, 5154311.0)	(36.0, 12465173.0)	(37.0, 312697.0)		
WT-WYS-3_R1_001	(13.0, 1.0)	(14.0, 2.0)	(15.0, 28.0)	(16.0, 99.0)	(17.0, 276.0)	(18.0, 714.0)	(19.0, 1119.0)	(20.0, 1464.0)	(21.0, 2056.0)	(22.0, 3429.0)	(23.0, 5882.0)	(24.0, 11179.0)	(25.0, 20570.0)	(26.0, 36789.0)	(27.0, 61788.0)	(28.0, 95046.0)	(29.0, 134747.0)	(30.0, 180391.0)	(31.0, 234681.0)	(32.0, 308416.0)	(33.0, 438176.0)	(34.0, 772166.0)	(35.0, 1992537.0)	(36.0, 17053833.0)	(37.0, 1474320.0)				
WT-WYS-3_R2_001	(11.0, 19.0)	(12.0, 314.0)	(13.0, 1043.0)	(14.0, 1335.0)	(15.0, 1436.0)	(16.0, 1879.0)	(17.0, 2762.0)	(18.0, 4111.0)	(19.0, 6269.0)	(20.0, 9375.0)	(21.0, 13743.0)	(22.0, 19798.0)	(23.0, 27815.0)	(24.0, 38101.0)	(25.0, 51300.0)	(26.0, 68674.0)	(27.0, 91976.0)	(28.0, 121658.0)	(29.0, 164647.0)	(30.0, 224323.0)	(31.0, 318894.0)	(32.0, 479873.0)	(33.0, 803676.0)	(34.0, 1648040.0)	(35.0, 4847182.0)	(36.0, 13490856.0)	(37.0, 390610.0)		
WT-male-gam-1_R1_001	(14.0, 7.0)	(15.0, 33.0)	(16.0, 75.0)	(17.0, 262.0)	(18.0, 696.0)	(19.0, 1109.0)	(20.0, 1383.0)	(21.0, 1986.0)	(22.0, 3216.0)	(23.0, 6033.0)	(24.0, 11403.0)	(25.0, 21847.0)	(26.0, 38869.0)	(27.0, 64836.0)	(28.0, 100118.0)	(29.0, 143749.0)	(30.0, 191763.0)	(31.0, 251028.0)	(32.0, 338642.0)	(33.0, 517572.0)	(34.0, 838526.0)	(35.0, 2152338.0)	(36.0, 17894513.0)	(37.0, 1470224.0)					
WT-male-gam-1_R2_001	(11.0, 12.0)	(12.0, 300.0)	(13.0, 884.0)	(14.0, 1171.0)	(15.0, 1344.0)	(16.0, 1802.0)	(17.0, 2709.0)	(18.0, 4163.0)	(19.0, 6355.0)	(20.0, 9533.0)	(21.0, 14184.0)	(22.0, 20650.0)	(23.0, 29667.0)	(24.0, 41411.0)	(25.0, 56062.0)	(26.0, 74384.0)	(27.0, 99148.0)	(28.0, 131603.0)	(29.0, 177849.0)	(30.0, 242277.0)	(31.0, 347201.0)	(32.0, 525760.0)	(33.0, 891656.0)	(34.0, 1853573.0)	(35.0, 5437531.0)	(36.0, 13727927.0)	(37.0, 351072.0)		
WT-male-gam-2_R1_001	(13.0, 1.0)	(14.0, 5.0)	(15.0, 38.0)	(16.0, 99.0)	(17.0, 343.0)	(18.0, 880.0)	(19.0, 1373.0)	(20.0, 1788.0)	(21.0, 2542.0)	(22.0, 3718.0)	(23.0, 6650.0)	(24.0, 12171.0)	(25.0, 23055.0)	(26.0, 40879.0)	(27.0, 68333.0)	(28.0, 105917.0)	(29.0, 151475.0)	(30.0, 203135.0)	(31.0, 264395.0)	(32.0, 345890.0)	(33.0, 485970.0)	(34.0, 829754.0)	(35.0, 2256360.0)	(36.0, 19576970.0)	(37.0, 1661102.0)				
WT-male-gam-2_R2_001	(11.0, 23.0)	(12.0, 313.0)	(13.0, 1080.0)	(14.0, 1403.0)	(15.0, 1518.0)	(16.0, 1974.0)	(17.0, 2846.0)	(18.0, 4258.0)	(19.0, 6301.0)	(20.0, 9498.0)	(21.0, 14150.0)	(22.0, 20883.0)	(23.0, 30299.0)	(24.0, 42666.0)	(25.0, 57955.0)	(26.0, 76936.0)	(27.0, 102144.0)	(28.0, 136046.0)	(29.0, 183281.0)	(30.0, 247373.0)	(31.0, 351099.0)	(32.0, 529451.0)	(33.0, 890114.0)	(34.0, 1838976.0)	(35.0, 5510194.0)	(36.0, 15537821.0)	(37.0, 444241.0)		
WT-male-gam-3_R1_001	(13.0, 1.0)	(14.0, 9.0)	(15.0, 26.0)	(16.0, 142.0)	(17.0, 397.0)	(18.0, 1035.0)	(19.0, 1578.0)	(20.0, 2027.0)	(21.0, 2779.0)	(22.0, 4197.0)	(23.0, 7183.0)	(24.0, 13109.0)	(25.0, 24359.0)	(26.0, 43909.0)	(27.0, 73857.0)	(28.0, 115183.0)	(29.0, 165177.0)	(30.0, 221761.0)	(31.0, 288151.0)	(32.0, 378675.0)	(33.0, 531717.0)	(34.0, 917032.0)	(35.0, 2501001.0)	(36.0, 20893233.0)	(37.0, 1735183.0)				
WT-male-gam-3_R2_001	(11.0, 23.0)	(12.0, 377.0)	(13.0, 1479.0)	(14.0, 1765.0)	(15.0, 1936.0)	(16.0, 2514.0)	(17.0, 3645.0)	(18.0, 5505.0)	(19.0, 8335.0)	(20.0, 12591.0)	(21.0, 18203.0)	(22.0, 26341.0)	(23.0, 37746.0)	(24.0, 52176.0)	(25.0, 70347.0)	(26.0, 93560.0)	(27.0, 124421.0)	(28.0, 164553.0)	(29.0, 220702.0)	(30.0, 300175.0)	(31.0, 424959.0)	(32.0, 642096.0)	(33.0, 1067601.0)	(34.0, 2157329.0)	(35.0, 6130820.0)	(36.0, 15912624.0)	(37.0, 439898.0)		
WT-mature-herm-1_R1_001	(16.0, 3.0)	(17.0, 94.0)	(18.0, 1064.0)	(19.0, 4554.0)	(20.0, 11460.0)	(21.0, 17561.0)	(22.0, 20634.0)	(23.0, 21902.0)	(24.0, 25812.0)	(25.0, 29399.0)	(26.0, 35786.0)	(27.0, 41304.0)	(28.0, 51004.0)	(29.0, 60010.0)	(30.0, 78969.0)	(31.0, 103326.0)	(32.0, 143823.0)	(33.0, 181804.0)	(34.0, 253923.0)	(35.0, 330656.0)	(36.0, 549246.0)	(37.0, 1004565.0)	(38.0, 2667313.0)	(39.0, 15239378.0)	(40.0, 5460979.0)				
WT-mature-herm-1_R2_001	(13.0, 3.0)	(14.0, 87.0)	(15.0, 750.0)	(16.0, 5020.0)	(17.0, 17194.0)	(18.0, 36754.0)	(19.0, 50443.0)	(20.0, 59237.0)	(21.0, 58765.0)	(22.0, 57072.0)	(23.0, 54591.0)	(24.0, 58769.0)	(25.0, 61560.0)	(26.0, 70357.0)	(27.0, 74434.0)	(28.0, 84244.0)	(29.0, 92203.0)	(30.0, 109870.0)	(31.0, 127376.0)	(32.0, 160789.0)	(33.0, 202938.0)	(34.0, 284787.0)	(35.0, 412708.0)	(36.0, 703814.0)	(37.0, 1260063.0)	(38.0, 3073040.0)	(39.0, 14150819.0)	(40.0, 5066882.0)	
WT-mature-herm-2_R1_001	(13.0, 1.0)	(14.0, 5.0)	(15.0, 17.0)	(16.0, 86.0)	(17.0, 187.0)	(18.0, 490.0)	(19.0, 737.0)	(20.0, 983.0)	(21.0, 1381.0)	(22.0, 2566.0)	(23.0, 4905.0)	(24.0, 9473.0)	(25.0, 18410.0)	(26.0, 33072.0)	(27.0, 56431.0)	(28.0, 87507.0)	(29.0, 127510.0)	(30.0, 171811.0)	(31.0, 226558.0)	(32.0, 299265.0)	(33.0, 423098.0)	(34.0, 723727.0)	(35.0, 1939559.0)	(36.0, 17129899.0)	(37.0, 1550585.0)				
WT-mature-herm-2_R2_001	(11.0, 41.0)	(12.0, 383.0)	(13.0, 1087.0)	(14.0, 1404.0)	(15.0, 1661.0)	(16.0, 2016.0)	(17.0, 2990.0)	(18.0, 4835.0)	(19.0, 7601.0)	(20.0, 11979.0)	(21.0, 17643.0)	(22.0, 25983.0)	(23.0, 36568.0)	(24.0, 49695.0)	(25.0, 65333.0)	(26.0, 85471.0)	(27.0, 112639.0)	(28.0, 147466.0)	(29.0, 196585.0)	(30.0, 265602.0)	(31.0, 375139.0)	(32.0, 561872.0)	(33.0, 934258.0)	(34.0, 1895262.0)	(35.0, 5291737.0)	(36.0, 12413621.0)	(37.0, 299392.0)		
WT-mature-herm-3_R1_001	(16.0, 3.0)	(17.0, 124.0)	(18.0, 1278.0)	(19.0, 5356.0)	(20.0, 13252.0)	(21.0, 19679.0)	(22.0, 22606.0)	(23.0, 23974.0)	(24.0, 27654.0)	(25.0, 31529.0)	(26.0, 38148.0)	(27.0, 44173.0)	(28.0, 54220.0)	(29.0, 64136.0)	(30.0, 84710.0)	(31.0, 114008.0)	(32.0, 155321.0)	(33.0, 206674.0)	(34.0, 266229.0)	(35.0, 348791.0)	(36.0, 599773.0)	(37.0, 1098392.0)	(38.0, 2894212.0)	(39.0, 16917692.0)	(40.0, 6024147.0)				
WT-mature-herm-3_R2_001	(13.0, 8.0)	(14.0, 91.0)	(15.0, 724.0)	(16.0, 4966.0)	(17.0, 17462.0)	(18.0, 37812.0)	(19.0, 53000.0)	(20.0, 63190.0)	(21.0, 61647.0)	(22.0, 59957.0)	(23.0, 57921.0)	(24.0, 62061.0)	(25.0, 64154.0)	(26.0, 72187.0)	(27.0, 77029.0)	(28.0, 86354.0)	(29.0, 94937.0)	(30.0, 112926.0)	(31.0, 131627.0)	(32.0, 166476.0)	(33.0, 208938.0)	(34.0, 296743.0)	(35.0, 435079.0)	(36.0, 742917.0)	(37.0, 1338426.0)	(38.0, 3315348.0)	(39.0, 15670952.0)	(40.0, 5823149.0)	
