Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BD5-gam_R1_001	(1.0, 15.5102153018672)	(2.0, 7.448193097058255)	(3.0, 4.029418302759093)	(4.0, 2.55921361626505)	(5.0, 1.7246996537368287)	(6.0, 1.3353176516751628)	(7.0, 1.074177544574653)	(8.0, 0.8562497458427863)	(9.0, 0.705477304294839)	('>10', 8.733763795577827)	('>50', 3.0115565418892443)	('>100', 9.374876930953729)	('>500', 7.28931357826304)	('>1k', 23.66615500299794)	('>5k', 7.334022580237494)	('>10k+', 5.3473493520069)
BD5-gam_R2_001	(1.0, 15.436949346739725)	(2.0, 7.472808120791469)	(3.0, 4.080705339993304)	(4.0, 2.4917836239999263)	(5.0, 1.6781487828202528)	(6.0, 1.263369008856953)	(7.0, 1.0110707973802)	(8.0, 0.7908885023304248)	(9.0, 0.7266417634439516)	('>10', 8.630122434819132)	('>50', 2.987834637000249)	('>100', 9.562481642519138)	('>500', 7.213341120147526)	('>1k', 23.64991931646113)	('>5k', 7.0202799420891635)	('>10k+', 5.9836556206073555)
BF16-S5_R1_001	(1.0, 17.633951856822954)	(2.0, 8.32881056732348)	(3.0, 4.771013460799718)	(4.0, 3.1102374439521934)	(5.0, 2.335659995119042)	(6.0, 1.8651768455689322)	(7.0, 1.4763012163630238)	(8.0, 1.2654682342499748)	(9.0, 1.10769504328295)	('>10', 14.554893767564172)	('>50', 5.452972077502379)	('>100', 12.8135281803013)	('>500', 6.327348421595048)	('>1k', 14.609676239783957)	('>5k', 2.721114984786001)	('>10k+', 1.6261516649850254)
BF16-S5_R2_001	(1.0, 17.17085432638504)	(2.0, 8.270608914476671)	(3.0, 4.825426172479666)	(4.0, 3.120580746274121)	(5.0, 2.287237038751133)	(6.0, 1.8365626967046182)	(7.0, 1.513817808716768)	(8.0, 1.2093607533969284)	(9.0, 1.0629186724153006)	('>10', 14.54799370649971)	('>50', 5.5356902365678256)	('>100', 12.943062194063607)	('>500', 6.267381315776064)	('>1k', 14.518725957114592)	('>5k', 2.5248366724290077)	('>10k+', 2.364942787948916)
BF16-WYS_R1_001	(1.0, 26.767010951226684)	(2.0, 16.39543198357532)	(3.0, 10.393080330178275)	(4.0, 6.7206284906025235)	(5.0, 4.442168457438082)	(6.0, 3.080021620879614)	(7.0, 2.393787725163249)	(8.0, 1.9083791918101236)	(9.0, 1.5037691516869411)	('>10', 14.237699716340629)	('>50', 3.308541058780575)	('>100', 5.651070029073906)	('>500', 1.7233490146867536)	('>1k', 1.3541224938851102)	('>5k', 0.1209397846722198)	('>10k+', 0.0)
BF16-WYS_R2_001	(1.0, 27.450615466247292)	(2.0, 15.904778724215513)	(3.0, 10.102488357898935)	(4.0, 6.526989151211109)	(5.0, 4.409652490743734)	(6.0, 3.0644210611616094)	(7.0, 2.320196908570617)	(8.0, 1.8334446403952067)	(9.0, 1.4556679271149902)	('>10', 14.252407471655395)	('>50', 3.409191232996182)	('>100', 5.866147591955103)	('>500', 1.7165695238313516)	('>1k', 1.4528919919322845)	('>5k', 0.16116578186572195)	('>10k+', 0.07337167820486926)
BF16-gam_R1_001	(1.0, 14.24882981138566)	(2.0, 7.310128654509203)	(3.0, 4.19166061243747)	(4.0, 2.5540319632290145)	(5.0, 1.8218703848621527)	(6.0, 1.3003632511610692)	(7.0, 1.0289709982123643)	(8.0, 0.8342407977071707)	(9.0, 0.7604613562333679)	('>10', 9.186251003323852)	('>50', 3.200303356938425)	('>100', 9.66245405213261)	('>500', 7.238841487434724)	('>1k', 23.855971320492657)	('>5k', 7.151269391718334)	('>10k+', 5.654351558222004)
BF16-gam_R2_001	(1.0, 14.072685346143048)	(2.0, 7.35205798026108)	(3.0, 4.169148719723841)	(4.0, 2.5515115813385467)	(5.0, 1.7720721622143867)	(6.0, 1.299105850611488)	(7.0, 1.0248975040795985)	(8.0, 0.8595657880760709)	(9.0, 0.7389478902585211)	('>10', 9.014437242702924)	('>50', 3.238877407239058)	('>100', 9.764295121146132)	('>500', 7.232500647912597)	('>1k', 23.724999074635544)	('>5k', 6.94824626212913)	('>10k+', 6.236651421527997)
BF5-S5_R1_001	(1.0, 22.295693805511924)	(2.0, 12.647172488748065)	(3.0, 8.041126205842861)	(4.0, 5.262648726364985)	(5.0, 3.5815632998777187)	(6.0, 2.5701045439840584)	(7.0, 2.0272206398284034)	(8.0, 1.5699853995017683)	(9.0, 1.3876661911586265)	('>10', 16.622516971804647)	('>50', 6.030078203839363)	('>100', 12.045324028910601)	('>500', 3.437381683786352)	('>1k', 2.347676792406775)	('>5k', 0.13384101843386007)	('>10k+', 0.0)
BF5-S5_R2_001	(1.0, 22.46081804467361)	(2.0, 12.413487885344157)	(3.0, 7.841623939807729)	(4.0, 4.949717572742302)	(5.0, 3.4020838147947923)	(6.0, 2.594618769314615)	(7.0, 2.0033327903565255)	(8.0, 1.5897550226248367)	(9.0, 1.3454421091868105)	('>10', 16.615800202546787)	('>50', 5.8962683513010505)	('>100', 12.14889097551215)	('>500', 3.7021783245599043)	('>1k', 2.729557004455905)	('>5k', 0.22605403088109358)	('>10k+', 0.08037116189793646)
