"hubGene","genes","cor"
"Ceric.03G029200.1","Ceric.39G017000.1",0.551
"Ceric.03G029200.1","Ceric.07G041400.1",0.55
"Ceric.03G029200.1","Ceric.04G018100.1",0.549
"Ceric.03G029200.1","Ceric.04G055600.1",0.549
"Ceric.1Z119300.1","Ceric.1Z119300.1",1
"Ceric.1Z119300.1","Ceric.07G015300.1",0.845
"Ceric.1Z119300.1","Ceric.39G015800.1",0.842
"Ceric.1Z119300.1","Ceric.23G068300.1",0.837
"Ceric.1Z119300.1","Ceric.39G012800.1",0.835
"Ceric.1Z119300.1","Ceric.29G009300.1",0.832
"Ceric.1Z119300.1","Ceric.05G032000.1",0.823
"Ceric.1Z119300.1","Ceric.16G070900.1",0.821
"Ceric.1Z119300.1","Ceric.23G069400.1",0.816
"Ceric.1Z119300.1","Ceric.34G036100.1",0.813
"Ceric.16G028400.1","Ceric.16G028400.1",1
"Ceric.16G028400.1","Ceric.04G028700.1",0.596
"Ceric.16G028400.1","Ceric.36G003700.1",0.592
"Ceric.16G028400.1","Ceric.16G028500.1",0.568
"Ceric.16G028400.1","Ceric.36G042200.1",0.557
"Ceric.16G028400.1","Ceric.01G006800.1",0.546
"Ceric.16G028400.1","Ceric.08G037500.1",0.546
"Ceric.16G028400.1","Ceric.38G064200.1",0.539
"Ceric.16G028400.1","Ceric.07G067100.1",0.538
"Ceric.16G028400.1","Ceric.1Z074200.1",0.537
"Ceric.16G028400.1","Ceric.33G006500.1",0.536
"Ceric.16G028400.1","Ceric.16G056200.1",0.53
"Ceric.16G028400.1","Ceric.07G074400.1",0.528
"Ceric.16G028400.1","Ceric.15G050000.1",0.526
"Ceric.16G028400.1","Ceric.01G125300.1",0.525
"Ceric.16G028400.1","Ceric.19G022000.1",0.524
"Ceric.16G028400.1","Ceric.04G088100.1",0.523
"Ceric.16G028400.1","Ceric.17G041500.1",0.523
"Ceric.16G028400.1","Ceric.29G048700.1",0.522
"Ceric.16G028400.1","Ceric.02G037500.1",0.521
"Ceric.16G028400.1","Ceric.06G090700.1",0.515
"Ceric.16G028400.1","Ceric.36G034000.1",0.515
"Ceric.16G028400.1","Ceric.18G074900.1",0.514
"Ceric.16G028400.1","Ceric.27G003500.1",0.514
"Ceric.16G028400.1","Ceric.29G030600.1",0.514
"Ceric.16G028400.1","Ceric.30G039300.1",0.513
"Ceric.16G028400.1","Ceric.30G042900.1",0.513
"Ceric.16G028400.1","Ceric.33G064400.1",0.513
"Ceric.16G028400.1","Ceric.12G020400.1",0.512
"Ceric.16G028400.1","Ceric.36G050000.1",0.51
"Ceric.16G028400.1","Ceric.18G012400.1",0.509
"Ceric.16G028400.1","Ceric.30G031400.1",0.507
"Ceric.16G028400.1","Ceric.16G015400.1",0.506
"Ceric.16G028400.1","Ceric.16G013300.1",0.502
"Ceric.16G028400.1","Ceric.09G100800.1",0.501
"Ceric.16G028400.1","Ceric.22G013600.1",0.5
