geneID,logFC,logCPM,F,PValue,FDR
Ceric.16G042000.v2.1,-5.054902697177647,6.173584728242613,856.106080594403,4.331787724020289e-10,1.254096956967917e-6
Ceric.1Z169700.v2.1,-5.254769336036921,6.198351651658132,737.4602643606091,8.313981933346826e-10,1.254096956967917e-6
Ceric.05G098700.v2.1,-4.699318032237952,5.820260901892926,472.38329129147996,5.768650824155348e-9,1.2660869924898856e-6
Ceric.32G025300.v2.1,-5.185069936435675,5.7609725482743,627.9529898130937,1.6786584086432228e-9,1.254096956967917e-6
Ceric.26G010900.v2.1,-5.628361791608834,5.760535556631234,676.8755744355213,1.2166314359694212e-9,1.254096956967917e-6
Ceric.05G036300.v2.1,-4.791986199881044,5.145936601365247,489.42713110251685,4.968658739729788e-9,1.2660869924898856e-6
Ceric.13G059500.v2.1,-4.518019602838371,4.779389009217548,619.0053953170147,1.793068859788347e-9,1.254096956967917e-6
Ceric.12G086200.v2.1,-5.168376300372339,4.847833311892598,726.3454503137201,9.074311090326103e-10,1.254096956967917e-6
Ceric.04G031700.v2.1,-6.132635288151662,3.2562261810740574,384.21770389082945,6.416909267163864e-9,1.2660869924898856e-6
Ceric.08G069200.v2.1,4.4309349617937634,6.387948982746225,643.8599405469315,1.4976525445272822e-9,1.254096956967917e-6
Ceric.15G021200.v2.1,4.429222697516235,6.1952546559703565,547.9469867105084,3.0218994626449805e-9,1.2660869924898856e-6
Ceric.10G049000.v2.1,3.8068211176827464,5.979037918147214,541.5694298627783,3.1791570118063016e-9,1.2660869924898856e-6
Ceric.1Z071300.v2.1,3.842116276219894,5.5517809574859855,502.1148875338863,4.4165850715785275e-9,1.2660869924898856e-6
Ceric.16G021700.v2.1,2.962732505455681,5.75050208766193,524.3584669445471,3.657772847387908e-9,1.2660869924898856e-6
Ceric.31G010200.v2.1,2.861686930016834,5.213420595061803,528.0198909198912,3.549160293709927e-9,1.2660869924898856e-6
Ceric.33G004700.v2.1,3.193987428212834,4.626362735212824,567.671031324412,2.5920648919304385e-9,1.2660869924898856e-6
Ceric.07G052800.v2.1,3.196018613254017,4.5226070252983925,532.7878418642036,3.414965339871796e-9,1.2660869924898856e-6
Ceric.30G016400.v2.1,5.0117456820489865,5.5104018548865765,614.7398259839086,1.8347228708891286e-9,1.254096956967917e-6
Ceric.17G026200.v2.1,5.790027487187326,5.775075029106179,551.0583977642236,2.956791215874919e-9,1.2660869924898856e-6
Ceric.05G102400.v2.1,6.617771341970271,5.622845375373105,683.5565422308479,1.1685643177821308e-9,1.254096956967917e-6
Ceric.35G020700.v2.1,5.56555695033597,5.102905447085512,573.7011711215824,2.4879605863090867e-9,1.2660869924898856e-6
